北九州市,40100,#ba0000,,1042388,1042321,1058058,1065078,1056402,1026455,1019598,1011471,993525,976846,961286,939029,,1,0,0,0,0,0,0,0,0,0,0,0
福岡市,40201,#ba6000,647122,749808,853270,1002201,1088588,1160440,1237062,1284795,1341470,1401279,1463743,1538681,1612392,0,1,0,1,0,0,0,0,0,0,0,0,0
大牟田市,40202,#ad9100,205766,193875,175143,165969,163000,159424,150453,145085,138629,131090,123638,117360,111281,0,0,0,0,0,0,0,0,0,0,0,0,0
小倉市,40202a,#a4ba00,286474,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
門司市,40202b,#5aba00,152081,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
久留米市,40203,#02a10c,155041,158974,194178,204474,216972,222847,228347,234433,236543,306434,302402,304552,303316,0,0,1,0,0,0,0,0,0,1,0,0,0
佐賀市,41201,#00b075,129888,134575,143454,152258,163765,168252,169963,171231,167955,206967,237506,236372,233301,0,0,0,0,0,0,0,0,0,1,1,0,0
長崎市,42201,#009eb0,344153,405479,421114,450194,447091,449382,444599,438635,423167,442699,443766,429508,409118,0,1,0,1,0,0,0,0,0,1,1,0,0
佐世保市,42202,#0050bf,262484,247069,247898,250729,251187,250633,244677,244909,240838,248041,261101,255439,243223,0,0,0,0,0,0,0,0,0,1,1,0,0
熊本市,43201,#1300bf,373922,407052,440020,488166,525662,555719,579306,650341,662012,669603,734474,740822,738865,0,0,0,1,0,0,0,1,0,0,1,0,0
大分市,44201,#6900bf,124807,226417,260584,320237,360478,390096,408501,426979,436470,462317,474094,478146,475614,0,1,0,0,0,0,0,0,0,1,0,0,0
宮崎市,45201,#bf00bf,158328,182870,202862,234347,264855,279114,287352,300068,305755,310123,400583,401138,401339,0,1,0,0,0,0,0,0,0,0,1,0,0
都城市,45202,#c2006b,92230,108220,114802,118289,129009,132098,130153,132714,131922,133062,169602,165029,160640,0,1,1,0,0,0,0,0,0,0,1,0,0
鹿児島市,46201,#ad3131,296003,328446,403340,456827,505360,530502,536752,546282,552098,604367,605846,599814,593128,0,0,1,0,0,0,0,0,0,1,0,0,0
那覇市,47201,#ad6f31,223047,257177,276380,295006,295778,303674,304836,301890,301032,312393,315954,319435,317625,0,0,0,0,0,0,0,0,0,0,0,0,0
