前橋市,10201,#ba0000,181937,198745,233632,250241,265169,277319,286261,284788,284155,318584,340291,336154,0,0,1,0,0,0,0,0,0,1,1,0
高崎市,10202,#ba6000,142152,173887,193072,211348,221429,231766,236461,238133,239904,245100,371302,370884,0,1,0,0,0,0,0,0,0,0,1,0
桐生市,10203,#ad9100,123010,127880,133141,134239,132889,131267,126446,120377,115434,128037,121704,114714,0,0,0,0,0,0,0,0,0,1,0,0
伊勢崎市,10204,#a4ba00,84250,86861,91277,97841,105729,112459,115938,120236,125751,202447,207221,208814,0,0,0,0,0,0,0,0,0,1,0,0
太田市,10205,#5aba00,62600,87898,98257,110723,123115,133670,139801,143057,147906,213299,216465,219807,0,1,0,0,0,0,0,0,0,1,0,0
沼田市,10206,#02a10c,42919,44347,43898,45255,47150,47179,46854,47204,46339,53177,51265,48676,0,0,0,0,0,0,0,0,0,1,0,0
館林市,10207,#00b075,55684,57317,61130,66410,70245,75141,76221,76857,79371,79454,78608,76667,0,0,0,0,0,0,0,0,0,0,0,0
渋川市,10208,#009eb0,39851,42355,44531,47071,47035,47814,49062,49167,48761,47961,83330,78391,0,0,0,0,0,0,0,0,0,0,1,0
藤岡市,10209,#0050bf,40933,41667,44311,49169,54022,57082,60981,62676,62951,62480,67975,65708,0,0,0,0,0,0,0,0,0,0,1,0
富岡市,10210,#1300bf,45039,45067,45638,46821,48047,48551,49022,49271,49349,49038,52070,49746,0,0,0,0,0,0,0,0,0,0,1,0
安中市,10211,#6900bf,40045,39517,40092,41581,43095,44601,45525,47079,47665,46911,61077,58531,0,0,0,0,0,0,0,0,0,0,1,0
みどり市,10212,#bf00bf,,,,,,,,,,,51899,50906,,,,,,,,,,,1,0
