長野市,20201,#ba0000,160522,172836,285355,306637,324360,336973,347026,358516,360112,378512,381511,377598,0,0,1,0,0,0,0,0,0,1,1,0
松本市,20202,#ba6000,148710,154131,162931,185595,192085,197340,200715,205523,208970,227627,243037,243293,0,0,0,1,0,0,0,0,0,1,1,0
上田市,20203,#ad9100,70186,73940,93198,105151,111540,116178,119435,123284,125368,123680,159597,156827,0,0,1,1,0,0,0,0,0,0,1,0
岡谷市,20204,#a4ba00,52256,56986,60350,61776,62210,61747,59849,58056,56401,54699,52841,50128,0,0,0,0,0,0,0,0,0,0,0,0
飯田市,20205,#5aba00,67555,79145,77261,77112,78515,92401,91859,106772,107381,108624,105335,101581,0,1,0,0,0,1,0,1,0,1,0,0
諏訪市,20206,#02a10c,44035,46276,48125,49594,50558,52329,52464,52104,53858,53240,51200,50140,0,0,0,0,0,0,0,0,0,0,0,0
須坂市,20207,#00b075,38968,40089,41538,49513,52543,53611,53662,53842,54207,53668,52168,50725,0,0,0,1,0,0,0,0,0,0,0,0
小諸市,20208,#009eb0,39283,38830,39093,39936,42355,43705,44888,45711,46158,45499,43997,42512,0,0,0,0,0,0,0,0,0,0,0,0
伊那市,20209,#0050bf,46179,51944,51922,54468,56086,59010,60062,62250,62284,62869,71093,68271,0,1,0,0,0,0,0,0,0,0,1,0
駒ヶ根市,20210,#1300bf,27579,28327,28913,30318,31179,32396,32771,33601,34338,34417,33693,32759,0,0,0,0,0,0,0,0,0,0,0,0
中野市,20211,#6900bf,37035,36751,37238,38271,39318,40532,40996,42292,42624,46788,45638,43909,0,0,0,0,0,0,0,0,0,1,0,0
大町市,20212,#bf00bf,35151,32085,31899,33844,32966,32451,31597,31020,31011,29798,29801,28041,0,0,0,0,0,0,0,0,0,0,1,0
飯山市,20213,#c2006b,37592,34799,32159,30796,30073,29034,28114,27423,26420,24960,23545,21438,0,0,0,0,0,0,0,0,0,0,0,0
茅野市,20214,#ad3131,35220,35015,36200,39717,43942,47273,50064,52807,54841,57099,56391,55912,0,0,0,0,0,0,0,0,0,0,0,0
塩尻市,20215,#ad6f31,32857,39297,42265,47421,52711,55960,57331,60481,64128,68346,67670,67135,0,1,0,0,0,0,0,0,0,1,0,0
篠ノ井市,20215a,#948b2b,29329,29340,285355,,,,,,,,,,0,0,2,,,,,,,,,
更埴市,20216,#65942b,32807,32515,33001,33930,35715,36849,36923,38294,39402,64022,,,0,0,0,0,0,0,0,0,0,2,,
佐久市,20217,#2b942b,,55149,55214,56143,57361,59974,62003,64206,66875,100462,100552,99368,,1,0,0,0,0,0,0,0,1,0,0
千曲市,20218,#26855a,,,,,,,,,,64022,62068,60298,,,,,,,,,,1,0,0
東御市,20219,#2f9696,,,,,,,,,,31271,30696,30107,,,,,,,,,,1,0,0
安曇野市,20220,#2f6696,,,,,,,,,,96266,96479,95282,,,,,,,,,,1,0,0
