長崎市,42201,#ba0000,344153,405479,421114,450194,447091,449382,444599,438635,423167,442699,443766,429508,409118,0,1,0,1,0,0,0,0,0,1,1,0,0
佐世保市,42202,#ba6000,262484,247069,247898,250729,251187,250633,244677,244909,240838,248041,261101,255439,243223,0,0,0,0,0,0,0,0,0,1,1,0,0
島原市,42203,#ad9100,45205,44175,44475,45179,46637,46061,44828,40778,39605,38316,47455,45436,43338,0,0,0,0,0,0,0,0,0,0,1,0,0
諫早市,42204,#a4ba00,64506,63886,65261,73341,83723,88376,90683,93058,95182,144034,140752,138078,133852,0,0,0,0,0,0,0,0,0,1,0,0,0
大村市,42205,#5aba00,59498,56425,56538,60919,65538,69472,73435,79279,84414,88040,90517,92757,95397,0,0,0,0,0,0,0,0,0,0,0,0,0
福江市,42206,#02a10c,38860,36876,33442,32018,32135,30946,29709,28772,27662,44765,,,,0,0,0,0,0,0,0,0,0,2,,,
平戸市,42207,#00b075,40879,36602,32865,30728,29923,28416,26864,25240,23900,38389,34905,31920,29365,0,0,0,0,0,0,0,0,0,1,0,0,0
松浦市,42208,#009eb0,44057,32859,25801,24978,24565,24752,24184,23707,22082,21221,25145,23309,21271,0,0,0,0,0,0,0,0,0,0,1,0,0
対馬市,42209,#0050bf,,,,,,,,,,38481,34407,31457,28502,,,,,,,,,,1,0,0,0
壱岐市,42210,#1300bf,,,,,,,,,,31414,29377,27103,24948,,,,,,,,,,1,0,0,0
五島市,42211,#6900bf,,,,,,,,,,44765,40622,37327,34391,,,,,,,,,,1,0,0,0
西海市,42212,#bf00bf,,,,,,,,,,33680,31176,28691,26275,,,,,,,,,,1,0,0,0
雲仙市,42213,#c2006b,,,,,,,,,,,47245,44115,41096,,,,,,,,,,,1,0,0
南島原市,42214,#ad3131,,,,,,,,,,,50363,46535,42330,,,,,,,,,,,1,0,0
