広島市,34201,#ba0000,431336,504245,541998,852611,899399,1044118,1085705,1108888,1126239,1154391,1173843,1194034,0,0,0,1,0,1,0,0,0,1,0,0
呉市,34202,#ba6000,210032,225013,235193,242655,234549,226488,216723,209485,203159,251003,239973,228552,0,0,0,0,0,0,0,0,0,1,0,0
竹原市,34203,#ad9100,36424,35018,35017,36273,36895,36286,34771,33451,31935,30657,28644,26426,0,0,0,0,0,0,0,0,0,0,0,0
三原市,34204,#a4ba00,80395,82175,82621,83679,84450,85975,85518,83769,82081,104196,100509,96194,0,0,0,0,0,0,0,0,0,1,0,0
尾道市,34205,#5aba00,91003,90740,101363,102951,102056,100640,97103,93756,92586,114486,145202,138626,0,0,1,0,0,0,0,0,0,1,1,0
因島市,34206,#02a10c,41502,41128,41729,41683,38579,37239,32640,30300,28187,26677,145202,,0,0,0,0,0,0,0,0,0,0,2,
松永市,34206a,#00b075,34718,34610,255086,,,,,,,,,,0,0,2,,,,,,,,,
福山市,34207,#009eb0,140603,170158,255086,329714,346030,360261,365612,374517,378789,418509,461357,464811,0,1,1,1,0,0,0,0,0,1,1,0
府中市,34208,#0050bf,40691,45341,47651,50217,49026,47798,45739,43689,41271,45188,42563,40069,0,0,0,1,0,0,0,0,0,1,0,0
三次市,34209,#1300bf,42163,37871,36169,37193,37877,38968,39465,39844,39503,59314,56605,53615,0,0,0,0,0,0,0,0,0,1,0,0
庄原市,34210,#6900bf,30663,26515,24464,23867,22874,22807,22677,22377,21370,43149,40244,37000,0,0,0,0,0,0,0,0,0,1,0,0
大竹市,34211,#bf00bf,34546,38145,37637,38457,36075,34760,33236,32850,31405,30279,28836,27865,0,0,0,0,0,0,0,0,0,0,0,0
東広島市,34212,#c2006b,,,,66236,75807,84717,94209,113939,123423,184430,190135,192907,,,,1,0,0,0,0,0,1,0,0
廿日市市,34213,#ad3131,,,,,,,63441,71227,73587,87144,114038,114906,,,,,,,0,0,0,1,1,0
安芸高田市,34214,#ad6f31,,,,,,,,,,33096,31487,29488,,,,,,,,,,1,0,0
江田島市,34215,#948b2b,,,,,,,,,,29939,27031,24339,,,,,,,,,,1,0,0
