福島市,07201,#ba0000,138961,173678,227451,246531,262837,270762,277528,285754,291121,290869,292590,294247,0,1,1,0,0,0,0,0,0,0,1,0
会津若松市,07202,#ba6000,99546,102239,104065,108650,114528,118140,119080,119640,118118,122248,126220,124062,0,0,0,0,0,0,0,0,0,1,1,0
郡山市,07203,#ad9100,102636,223183,241673,264628,286451,301673,314642,326833,334824,338834,338712,335444,0,1,0,0,0,0,0,0,0,0,0,0
平市,07203a,#a4ba00,71115,70921,327164,,,,,,,,,,0,0,2,,,,,,,,,
いわき市,07204,#5aba00,,,327164,330213,342074,350569,355812,360598,360138,354492,342249,350237,,,1,0,0,0,0,0,0,0,0,0
白河市,07205,#02a10c,41196,40747,40904,42685,43187,44678,45646,46544,47685,47854,64704,61913,0,0,0,0,0,0,0,0,0,0,1,0
原町市,07206,#00b075,41006,40643,40634,43483,46052,48411,49055,50087,48750,47456,70878,,0,0,0,0,0,0,0,0,0,0,2,
須賀川市,07207,#009eb0,47156,46999,53761,54922,57110,58786,60695,64298,66747,80364,79267,77441,0,0,1,0,0,0,0,0,0,1,0,0
喜多方市,07208,#0050bf,42338,40424,38352,37471,37553,37546,37288,37532,37495,36410,52356,49377,0,0,0,0,0,0,0,0,0,0,1,0
常磐市,07208a,#1300bf,44041,40671,327164,,,,,,,,,,0,0,2,,,,,,,,,
磐城市,08208b,#6900bf,58080,64899,327164,,,,,,,,,,0,0,2,,,,,,,,,
相馬市,07209,#bf00bf,41352,38430,37189,37551,38332,39346,39134,39449,38842,38630,37817,38556,0,0,0,0,0,0,0,0,0,0,0,0
内郷市,07209a,#c2006b,38820,35242,327164,,,,,,,,,,0,0,2,,,,,,,,,
勿来市,07209b,#ad3131,48117,46731,327164,,,,,,,,,,0,0,2,,,,,,,,,
二本松市,07210,#ad6f31,33939,33582,33166,33508,33640,34349,34927,35966,36233,35107,59871,58162,0,0,0,0,0,0,0,0,0,0,1,0
田村市,07211,#948b2b,,,,,,,,,,43253,40422,38503,,,,,,,,,,1,0,0
南相馬市,07212,#65942b,,,,,,,,,,,70878,57797,,,,,,,,,,,1,0
伊達市,07213,#2b942b,,,,,,,,,,,66027,62400,,,,,,,,,,,1,0
本宮市,07214,#26855a,,,,,,,,,,,31489,30924,,,,,,,,,,,1,0
