下関市,35201,#ba0000,246941,254376,258425,266593,268957,269169,262635,259795,252389,290693,280947,268517,0,0,0,0,0,0,0,0,0,1,0,0
宇部市,35202,#ba6000,166632,158986,152935,161969,168958,174855,175053,175116,174416,178955,173772,169429,0,0,0,0,0,0,0,0,0,1,0,0
山口市,35203,#ad9100,87695,98977,101041,106099,114744,124213,129461,135579,140447,191677,196628,197422,0,1,0,0,0,0,0,0,0,1,1,0
萩市,35204,#a4ba00,56831,53905,52541,52724,53693,52740,50618,48314,46004,57990,53747,49560,0,0,0,0,0,0,0,0,0,1,0,0
徳山市,35205,#5aba00,77246,84687,98520,106967,111469,112638,110900,108671,104672,152387,,,0,0,1,0,0,0,0,0,0,2,,
防府市,35206,#02a10c,94513,94342,97009,105540,111468,118067,117634,118803,117724,116818,116611,115942,0,0,0,0,0,0,0,0,0,0,0,0
下松市,35207,#00b075,44693,47401,49627,55825,54803,54445,53030,53471,53101,53509,55012,55812,0,0,0,0,0,0,0,0,0,0,0,0
岩国市,35208,#009eb0,100346,105931,106116,111069,112525,111833,109530,107386,105762,103507,143857,136757,0,0,0,0,0,0,0,0,0,0,1,0
小野田市,35209,#0050bf,55192,43584,42041,43804,44803,46364,46491,45946,45085,66261,,,0,0,0,0,0,0,0,0,0,2,,
光市,35210,#1300bf,37615,40916,45716,48794,48991,49246,47611,46830,46422,53971,53004,51369,0,0,0,0,0,0,0,0,0,1,0,0
長門市,35211,#6900bf,30903,29246,27815,27327,27574,27543,26110,25118,24092,41127,38349,35439,0,0,0,0,0,0,0,0,0,1,0,0
柳井市,35212,#bf00bf,40717,38896,37774,38317,38234,37414,36360,35071,33597,35927,34730,32945,0,0,0,0,0,0,0,0,0,1,0,0
美祢市,35213,#c2006b,39704,34359,27639,22552,21939,21027,19642,19001,18638,17754,28630,26159,0,0,0,0,0,0,0,0,0,0,1,0
新南陽市,35214,#ad3131,,,,34192,34367,33895,32988,32338,32153,152387,,,,,,0,0,0,0,0,0,2,,
周南市,35215,#ad6f31,,,,,,,,,,152387,149487,144842,,,,,,,,,,1,0,0
山陽小野田市,35216,#948b2b,,,,,,,,,,66261,64550,62671,,,,,,,,,,1,0,0
