福井市,18201,#ba0000,149823,169636,200509,231364,240962,250261,252743,255604,252274,252220,266796,265904,262328,0,1,1,1,0,0,0,0,0,0,1,0,0
敦賀市,18202,#ba6000,53493,54508,56445,60205,61844,65670,68041,67204,68145,68402,67760,66165,64264,0,0,0,0,0,0,0,0,0,0,0,0,0
武生市,18203,#ad9100,62610,62588,62019,65012,67104,69148,70187,71109,73792,87742,,,,0,0,0,0,0,0,0,0,0,2,,,
小浜市,18204,#a4ba00,36236,35160,33702,33890,34049,34011,33774,33496,33295,32182,31340,29670,28991,0,0,0,0,0,0,0,0,0,0,0,0,0
大野市,18205,#5aba00,44666,43747,42241,41918,41901,41926,40991,40245,38880,37174,35291,33109,31286,0,0,1,0,0,0,0,0,0,0,1,0,0
勝山市,18206,#02a10c,36531,34828,32691,31025,30852,30416,29805,29162,28143,26961,25466,24125,22150,0,0,0,0,0,0,0,0,0,0,0,0,0
鯖江市,18207,#00b075,49045,50114,52614,57252,59579,61452,62283,62890,64898,66831,67450,68284,68302,0,0,0,0,0,0,0,0,0,0,0,0,0
あわら市,18208,#009eb0,,,,,,,,,,31081,29989,28729,27524,,,,,,,,,,1,0,0,0
越前市,18209,#0050bf,,,,,,,,,,87742,85614,81524,80611,,,,,,,,,,1,0,0,0
坂井市,18210,#1300bf,,,,,,,,,,,91900,90280,88481,,,,,,,,,,,1,0,0
