高知市,39201,#ba0000,196288,217889,240481,280962,300822,312241,317069,321999,330654,333484,343393,337190,326545,0,0,0,1,0,0,0,0,0,1,1,0,0
室戸市,39202,#ba6000,30498,28746,27445,26650,26086,25309,23308,21430,19472,17490,15210,13524,11742,0,0,0,0,0,0,0,0,0,0,0,0,0
安芸市,39203,#ad9100,30370,26605,24498,24480,25022,25009,23739,22377,21321,20348,19547,17577,16243,0,0,0,0,0,0,0,0,0,0,0,0,0
南国市,39204,#a4ba00,41798,41237,41096,42832,44866,47554,46823,48192,49965,50758,49472,47982,46664,0,0,0,0,0,0,0,0,0,0,0,0,0
土佐市,39205,#5aba00,31803,30772,29905,30679,31677,32147,31564,30723,30338,30011,28686,27038,25732,0,0,0,0,0,0,0,0,0,0,0,0,0
須崎市,39206,#02a10c,32976,32020,31050,31019,31852,31378,30295,28742,27569,26039,24698,22606,20590,0,0,0,0,0,0,0,0,0,0,0,0,0
中村市,39207,#00b075,38951,35717,33573,34437,35466,36086,35816,34930,34968,37917,,,,0,0,0,0,0,0,0,0,0,2,,,
宿毛市,39208,#009eb0,30016,26992,25028,25340,26080,26255,25828,25919,25970,24397,22610,20907,19033,0,0,0,0,0,0,0,0,0,0,0,0,0
土佐清水市,39209,#0050bf,29944,26725,24122,24856,24252,23014,21182,19582,18512,17281,16029,13778,12388,0,0,0,0,0,0,0,0,0,0,0,0,0
四万十市,39210,#1300bf,,,,,,,,,,37917,35933,34313,32694,,,,,,,,,,1,0,0,0
香南市,39211,#6900bf,,,,,,,,,,,33830,32961,32207,,,,,,,,,,,1,0,0
香美市,39212,#bf00bf,,,,,,,,,,,28766,27513,26513,,,,,,,,,,,1,0,0
