岡山市,33201,#ba0000,260773,291825,375106,513471,545765,572479,593730,615757,626642,674746,709584,719474,0,0,1,1,0,0,0,0,0,1,1,0
倉敷市,33202,#ba6000,125097,144461,339799,392755,403785,413632,414693,422836,430291,469377,475513,477118,0,0,1,1,0,0,0,0,0,1,0,0
津山市,33203,#ad9100,78549,76007,76368,79907,83136,86837,89400,91170,90156,110569,106788,103746,0,0,0,0,0,0,0,0,0,1,0,0
玉野市,33204,#a4ba00,65292,66232,68446,78516,77803,76954,73238,71330,69567,67047,64588,60736,0,0,0,1,0,0,0,0,0,0,0,0
児島市,33204a,#5aba00,75256,77420,339799,,,,,,,,,,0,0,2,,,,,,,,,
玉島市,33204b,#02a10c,51928,53455,339799,,,,,,,,,,0,0,2,,,,,,,,,
笠岡市,33205,#00b075,68987,63778,62405,63413,61917,60598,59619,60478,59300,57272,54225,50568,0,0,0,0,0,0,0,0,0,0,0,0
西大寺市,33206,#009eb0,45984,46868,375106,,,,,,,,,,0,0,2,,,,,,,,,
井原市,33207,#0050bf,39294,38485,37819,37479,37373,37212,36076,35076,34817,45104,43927,41390,0,0,0,0,0,0,0,0,0,1,0,0
総社市,33208,#1300bf,35181,34508,37371,47027,49107,51240,52724,56097,56531,66584,66201,66855,0,0,0,1,0,0,0,0,0,1,0,0
高梁市,33209,#6900bf,34478,31327,28967,27701,27260,26553,26003,26072,25374,38799,34963,32075,0,0,0,0,0,0,0,0,0,1,0,0
新見市,33210,#bf00bf,37437,34063,30966,30014,28933,28343,27291,25513,24576,36073,33870,30658,0,0,0,0,0,0,0,0,0,1,0,0
備前市,33211,#c2006b,,,,33908,33032,32243,31148,30391,28683,40241,37839,35179,,,,1,0,0,0,0,0,1,0,0
瀬戸内市,33212,#ad3131,,,,,,,,,,39081,37852,36975,,,,,,,,,,1,0,0
赤磐市,33213,#ad6f31,,,,,,,,,,43913,43458,43214,,,,,,,,,,1,0,0
真庭市,33214,#948b2b,,,,,,,,,,51782,48964,46124,,,,,,,,,,1,0,0
美作市,33215,#65942b,,,,,,,,,,32479,30498,27977,,,,,,,,,,1,0,0
浅口市,33216,#2b942b,,,,,,,,,,,36114,34235,,,,,,,,,,,1,0
