北九州市,40100,#ba0000,,1042388,1042321,1058058,1065078,1056402,1026455,1019598,1011471,993525,976846,961286,939029,,1,0,0,0,0,0,0,0,0,0,0,0
福岡市,40201,#ba6000,647122,749808,853270,1002201,1088588,1160440,1237062,1284795,1341470,1401279,1463743,1538681,1612392,0,1,0,1,0,0,0,0,0,0,0,0,0
若松市,40201a,#ad9100,106975,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
八幡市,40201b,#a4ba00,332163,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
戸畑市,40201c,#5aba00,108708,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
大牟田市,40202,#02a10c,205766,193875,175143,165969,163000,159424,150453,145085,138629,131090,123638,117360,111281,0,0,0,0,0,0,0,0,0,0,0,0,0
小倉市,40202a,#00b075,286474,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
門司市,40202b,#009eb0,152081,1042388,,,,,,,,,,,,0,2,,,,,,,,,,,
久留米市,40203,#0050bf,155041,158974,194178,204474,216972,222847,228347,234433,236543,306434,302402,304552,303316,0,0,1,0,0,0,0,0,0,1,0,0,0
直方市,40204,#1300bf,62179,57839,55615,58551,62595,64479,62530,61623,59182,57497,57686,57146,56212,0,0,0,0,0,0,0,0,0,0,0,0,0
飯塚市,40205,#6900bf,60431,82033,75643,75417,80288,81868,83131,83411,80651,79365,131492,129146,126364,0,1,0,0,0,0,0,0,0,0,1,0,0
田川市,40206,#bf00bf,95911,74063,64233,61464,60077,59727,57700,56547,54027,51534,50605,48441,46203,0,0,0,0,0,0,0,0,0,0,0,0,0
柳川市,40207,#c2006b,48691,47549,45789,45057,45587,44942,43791,43245,41815,74539,71375,67777,64475,0,0,0,0,0,0,0,0,0,1,0,0,0
山田市,40208,#ad3131,30140,20235,15334,14670,14856,14224,13266,12680,11686,11034,42589,,,0,0,0,0,0,0,0,0,0,0,2,,
甘木市,40209,#ad6f31,45988,44060,43259,42725,42863,43575,43034,42702,42643,41674,56355,,,0,0,0,0,0,0,0,0,0,0,2,,
八女市,40210,#948b2b,41195,39312,38848,38843,39408,40286,39816,39818,39610,38951,69057,64408,60608,0,0,0,0,0,0,0,0,0,0,1,0,0
筑後市,40211,#65942b,40479,38966,38688,39520,41698,43359,43835,45289,47348,47844,48512,48339,48827,0,0,0,0,0,0,0,0,0,0,0,0,0
大川市,40212,#2b942b,50351,51197,51637,50395,49537,47837,45704,43341,41338,39213,37448,34838,32988,0,0,0,0,0,0,0,0,0,0,0,0,0
行橋市,40213,#26855a,47188,47495,47843,53750,61838,65527,65711,67833,69737,70070,70468,70586,71426,0,0,0,0,0,0,0,0,0,0,0,0,0
豊前市,40214,#2f9696,34818,32659,32049,31220,31701,31985,31089,29716,29133,28104,27031,25940,24391,0,0,0,0,0,0,0,0,0,0,0,0,0
中間市,40215,#2f6696,42418,33784,33734,43145,48647,50294,49216,49353,48032,46560,44210,41796,40362,0,0,0,0,0,0,0,0,0,0,0,0,0
小郡市,40216,#2f3296,,,,36914,41057,43811,47116,50612,54583,57481,58499,57983,59360,,,,0,0,0,0,0,0,0,0,0,0
筑紫野市,40217,#5f2f96,,,,47741,57966,63242,70303,81988,93049,97571,100172,101081,103311,,,,0,0,0,0,0,0,0,0,0,0
春日市,40218,#8d2f96,,,,55160,65838,75555,88699,99206,105219,108402,106780,110743,111023,,,,0,0,0,0,0,0,0,0,0,0
大野城市,40219,#962f61,,,,52169,64109,69435,75214,82903,89414,92748,95087,99525,102085,,,,0,0,0,0,0,0,0,0,0,0
宗像市,40220,#7d4242,,,,,,60971,68265,76936,81588,94148,95501,96516,97095,,,,,,0,0,0,0,1,0,0,0
太宰府市,40221,#7d6342,,,,,,57737,62402,64913,66099,67087,70482,72168,73164,,,,,,0,0,0,0,0,0,0,0
前原市,40222,#7d7a42,,,,,,,,57944,63883,67275,98435,,,,,,,,,,0,0,0,2,,
古賀市,40223,#5c7d42,,,,,,,,,55476,55943,57920,57959,58786,,,,,,,,,0,0,0,0,0
福津市,40224,#386941,,,,,,,,,,55677,55431,58781,67033,,,,,,,,,,1,0,0,0
うきは市,40225,#3d7567,,,,,,,,,,32902,31640,29509,27981,,,,,,,,,,1,0,0,0
宮若市,40226,#3d6b75,,,,,,,,,,,30081,28112,26298,,,,,,,,,,,1,0,0
嘉麻市,40227,#3d4875,,,,,,,,,,,42589,38743,35473,,,,,,,,,,,1,0,0
朝倉市,40228,#443d75,,,,,,,,,,,56355,52444,50273,,,,,,,,,,,1,0,0
みやま市,40229,#5f3d75,,,,,,,,,,,40732,38139,35861,,,,,,,,,,,1,0,0
糸島市,40230,#753d75,,,,,,,,,,,98435,96475,98877,,,,,,,,,,,1,0,0
那珂川市,40231,#753d53,,,,,,,,,,,,,50112,,,,,,,,,,,,,0
