鳥取市,31201,#ba0000,104833,108860,113151,122312,131060,137060,142467,146330,150439,201740,197449,193717,188465,0,1,0,0,0,0,0,0,0,1,0,0,0
米子市,31202,#ba6000,94808,99484,109096,118332,127374,131792,131453,134762,138756,149584,148271,149313,147317,0,0,1,0,0,0,0,0,0,1,0,0,0
倉吉市,31203,#ad9100,51528,50114,49629,50785,52270,52351,51834,51107,49711,52592,50720,49044,46485,0,0,0,0,0,0,0,0,0,1,0,0,0
境港市,31204,#a4ba00,32714,32846,34145,35821,37278,37351,37282,37365,36843,36459,35259,34174,32740,0,0,0,0,0,0,0,0,0,0,0,0,0
