青森市,02201,#ba0000,202211,224433,240063,264222,287594,294045,287808,294167,297859,311508,299520,287648,275192,0,1,0,0,0,0,0,0,0,1,0,0,0
弘前市,02202,#ba6000,152132,151624,157603,164911,175330,176082,174704,177972,177086,173221,183473,177411,168466,0,0,0,0,0,0,0,0,0,0,1,0,0
八戸市,02203,#ad9100,174348,189387,208801,224366,238179,241430,241057,242654,241920,244700,237615,231257,223415,0,0,0,0,0,0,0,0,0,1,0,0,0
盛岡市,03201,#a4ba00,157441,176967,196036,216223,229114,235469,235434,286478,288843,287192,298348,297631,289731,0,0,0,0,0,0,0,1,0,0,1,0,0
花巻市,03205,#5aba00,62385,62710,63753,65826,68873,69886,70514,71950,72995,72407,101438,97702,93193,0,0,0,0,0,0,0,0,0,0,1,0,0
一関市,03209,#02a10c,57585,57238,55830,59122,60214,60941,61967,63477,63510,125818,118578,121583,111932,0,0,0,0,0,0,0,0,0,1,0,1,0
奥州市,03215,#00b075,,,,,,,,,,,124746,119422,112937,,,,,,,,,,,1,0,0
仙台市,04201,#009eb0,425272,480925,545065,615473,664868,700254,918398,971297,1008130,1025098,1045986,1082159,1096704,0,0,0,0,0,0,1,0,0,0,0,0,0
石巻市,04202,#0050bf,83947,89284,106681,115085,120699,122674,121976,121208,119818,167324,160826,147214,140151,0,0,1,0,0,0,0,0,0,1,0,0,0
泉市,04210,#1300bf,,,,70087,98016,124216,918398,,,,,,,,,,0,0,0,2,,,,,,
大崎市,04215,#6900bf,,,,,,,,,,,135147,133391,127330,,,,,,,,,,,1,0,0
秋田市,05201,#bf00bf,203661,216607,235873,261246,284863,296400,302362,311948,317625,333109,323600,315814,307672,0,0,0,0,0,0,0,0,0,1,0,0,0
横手市,05203,#c2006b,46950,44331,43363,43030,43773,43266,42294,41462,40521,103652,98367,92197,85555,0,0,0,0,0,0,0,0,0,1,0,0,0
山形市,06201,#ad3131,188597,193737,204127,219773,237041,245158,249487,254488,255369,256012,254244,253832,247590,0,0,0,0,0,0,0,0,0,0,0,0,0
鶴岡市,06203,#ad6f31,83149,95615,95136,95932,99751,100200,99889,100538,100628,142384,136623,129652,122347,0,1,0,0,0,0,0,0,0,1,0,0,0
酒田市,06204,#948b2b,97671,95982,96072,97723,102600,101392,100811,101230,101311,98278,111151,106244,100273,0,0,0,0,0,0,0,0,0,0,1,0,0
福島市,07201,#65942b,138961,173678,227451,246531,262837,270762,277528,285754,291121,290869,292590,294247,282693,0,1,1,0,0,0,0,0,0,0,1,0,0
会津若松市,07202,#2b942b,99546,102239,104065,108650,114528,118140,119080,119640,118118,122248,126220,124062,117376,0,0,0,0,0,0,0,0,0,1,1,0,0
郡山市,07203,#26855a,102636,223183,241673,264628,286451,301673,314642,326833,334824,338834,338712,335444,327692,0,1,0,0,0,0,0,0,0,0,0,0,0
いわき市,07204,#2f9696,,,327164,330213,342074,350569,355812,360598,360138,354492,342249,350237,332931,,,1,0,0,0,0,0,0,0,0,0,0
