松江市,32201,#ba0000,106476,110534,118005,127440,135568,140005,142956,147416,152616,196603,194258,206230,0,0,0,0,0,0,0,0,0,1,0,1
浜田市,32202,#ba6000,46626,44439,49407,50316,50799,51071,49135,48515,47187,63046,61713,58105,0,0,1,0,0,0,0,0,0,1,0,0
出雲市,32203,#ad9100,69219,68765,69078,71568,77303,80749,82679,84854,87330,146307,143796,171938,0,0,0,0,0,0,0,0,0,1,0,1
益田市,32204,#a4ba00,56053,52729,50071,50734,52756,54049,52412,51559,50128,52368,50015,47718,0,0,0,0,0,0,0,0,0,1,0,0
大田市,32205,#5aba00,47211,42322,38192,37449,38026,38242,36922,35333,33609,40703,37996,35166,0,0,0,0,0,0,0,0,0,1,0,0
安来市,32206,#02a10c,31330,30778,30796,32004,32660,33056,32439,31637,30520,43839,41836,39528,0,0,0,0,0,0,0,0,0,1,0,0
江津市,32207,#00b075,33485,30209,27891,27992,28264,28597,27748,26958,25773,27774,25697,24468,0,0,0,0,0,0,0,0,0,1,0,0
平田市,32208,#009eb0,34799,33128,31560,30942,31067,31315,30632,29707,29006,146307,,,0,0,0,0,0,0,0,0,0,2,,
雲南市,32209,#0050bf,,,,,,,,,,44403,41917,39032,,,,,,,,,,1,0,0
