青森市,02201,#ba0000,202211,224433,240063,264222,287594,294045,287808,294167,297859,311508,299520,287648,0,1,0,0,0,0,0,0,0,1,0,0
弘前市,02202,#a4ba00,152132,151624,157603,164911,175330,176082,174704,177972,177086,173221,183473,177411,0,0,0,0,0,0,0,0,0,0,1,0
八戸市,02203,#ba6000,174348,189387,208801,224366,238179,241430,241057,242654,241920,244700,237615,231257,0,0,0,0,0,0,0,0,0,1,0,0
黒石市,02204,#02a10c,41033,38796,37690,38796,40755,40501,39213,39004,39059,38455,36132,34284,0,0,0,0,0,0,0,0,0,0,0,0
五所川原市,02205,#c2006b,48033,47433,47567,49040,50632,49543,47966,48549,49193,62181,58421,55181,0,0,0,0,0,0,0,0,0,1,0,0
十和田市,02206,#00b075,45362,46713,50601,54365,58886,61295,60911,62418,63363,68359,66110,63429,0,0,0,0,0,0,0,0,0,1,0,0
三沢市,02207,#ad9100,36570,36326,35343,37437,39962,41425,41342,41605,42495,42425,41258,40196,0,0,0,0,0,0,0,0,0,0,0,0
むつ市,02208,#009eb0,38312,39282,41134,44646,47610,49292,48470,48883,49341,64052,61066,58493,0,0,0,0,0,0,0,0,0,1,0,0
つがる市,02209,#65942b,,,,,,,,,,40091,37243,33316,,,,,,,,,,1,0,0
平川市,02210,#8d2f96,,,,,,,,,,,33764,32106,,,,,,,,,,,1,0
