CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_SERV,
dummy,,,,,,,,,,,,,,,,,,,,,
01579,5407,-97,154.61,35,2133,-,0,743,3509,1155,17,5893,3541,754,681,2104,754,390,331,1113,
01580,4031,51,82.52,48.8,1696,-,0,536,2413,1082,14,3821,1696,429,325,942,429,107,245,440,
01581,5438,-296,404.56,13.4,1980,-,0,806,3214,1418,27,5863,3609,1383,738,1488,1348,274,289,615,
01582,7232,-621,166.43,43.5,2744,-,0,1059,4538,1635,22,7008,3739,1072,888,1776,1002,297,505,917,
01583,3965,-149,546.48,7.3,1557,-,0,573,2357,1035,7,3926,1950,574,401,973,574,100,219,528,
01601,2306,-347,563.95,4.1,1045,-,0,281,1479,546,7,2368,1339,135,298,906,131,55,225,401,
01602,6503,-380,743.16,8.8,2551,-,0,989,4016,1498,25,6515,3427,1107,695,1625,1107,107,345,917,
01603,13477,-426,428.73,31.4,5542,-,0,1917,8779,2772,58,13382,7495,2553,1295,3646,2357,595,1003,2072,
01604,6204,-274,585.88,10.6,2395,-,0,896,3952,1356,12,6004,3281,1445,565,1269,1371,98,300,694,
01605,23125,-527,801.5,28.9,9479,-,14052,3521,15276,4328,109,23377,11390,1956,2149,7284,1645,512,2713,2930,
01606,5313,-372,346.22,15.3,1975,-,0,754,3081,1478,9,5124,2945,1271,577,1097,1006,151,304,556,
01607,16634,-552,694.23,24,6936,-,5091,2506,10868,3260,82,17180,9429,2298,1636,5494,1708,473,1476,2711,
01608,6210,-476,364.29,17,2403,-,0,891,3831,1488,13,6037,3148,877,885,1386,216,385,391,634,
01609,6248,-563,283.87,22,2161,-,0,1018,3908,1322,23,6252,3841,1849,572,1419,123,218,349,628,
01631,39201,1673,466.09,84.1,14262,-,26192,6355,25711,7076,31,33459,14668,2950,3103,8545,2950,1192,2386,4780,
01632,6839,-171,259.13,26.4,2271,-,0,1054,4231,1541,17,7392,4372,1657,1126,1585,1653,840,344,847,
01633,5634,-302,700.87,8,2233,-,0,746,3519,1364,8,5587,3004,899,514,1589,898,168,381,812,
01634,5910,-179,399.61,14.8,2079,-,0,1029,3700,1181,9,6033,3434,1162,236,2035,1161,68,328,870,
01635,7657,-165,1064.01,7.2,3311,-,0,966,4851,1840,39,7713,4168,757,931,2479,754,485,503,1506,
01636,10988,-337,402.1,27.3,4072,-,0,1588,6750,2650,17,11144,5878,1581,1361,2933,1579,772,766,1514,
01637,17586,982,513.91,34.2,6051,-,11520,2997,11283,3306,23,18357,10056,2557,2193,5262,2557,1284,1590,2348,
01638,4116,-203,292.69,14.1,1426,-,0,643,2685,788,12,4288,2430,801,467,1158,801,275,251,668,
01639,3291,-59,176.45,18.7,1093,-,0,597,1978,716,2,3463,2001,959,281,756,953,131,185,375,
01640,1804,-67,137.54,13.1,682,-,0,230,1120,454,1,1688,960,439,101,419,439,17,99,211,
01641,6711,-364,816.38,8.2,2560,-,0,976,4167,1568,18,7049,4016,1193,992,1827,1070,577,497,945,
01642,8975,-618,596.06,15.1,3328,-,5419,1482,5642,1851,8,8886,4597,1064,1173,2359,462,488,700,1004,
01643,24276,1907,340.46,71.3,8660,-,12512,3970,15785,4498,15,21103,9728,2155,2603,4873,2138,1181,1443,2433,
