ESTIMATE,CODE,CODE4,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KYOSAN,H_KOKUMIN,H_REIWA,H_SHAMIN,H_NHK,H_OTHER
dummy,dummy,dummy,,,,,,,,,,,,,,,
,11212,1110,75092 ,43957 ,42896 ,43956 ,42963 ,14117 ,5188 ,12259.552 ,3338 ,3747 ,1481.447 ,1582 ,697 ,553 ,0 
,11214,,198946 ,97253 ,94852 ,97236 ,95481 ,28769 ,15502 ,23376.069 ,8432 ,8420 ,4320.929 ,3879 ,1547 ,1235 ,0 
,11214-13,1113,167968 ,82032 ,80014 ,82017 ,80514 ,24053 ,12704 ,20341.536 ,7261 ,7215 ,3279.463 ,3293 ,1317 ,1050 ,0 
,11214-14,1114,30978 ,15221 ,14838 ,15219 ,14967 ,4716 ,2798 ,3034.533 ,1171 ,1205 ,1041.466 ,586 ,230 ,185 ,0 
,11215,1109,128109 ,71912 ,70166 ,71888 ,70505 ,23105 ,9924 ,17583.578 ,6149 ,6184 ,2833.421 ,2723 ,1044 ,959 ,0 
,11216,1112,45279 ,24258 ,23812 ,24254 ,23730 ,8579 ,4085 ,5775.517 ,1667 ,1277 ,827.482 ,840 ,408 ,271 ,0 
,11217,,99851 ,57444 ,56222 ,57438 ,56415 ,18916 ,7222 ,15303.348 ,4670 ,4217 ,2404.650 ,1940 ,1072 ,670 ,0 
,11217-6,1106,92695 ,53886 ,52746 ,53880 ,52922 ,17607 ,6682 ,14464.577 ,4440 ,3983 ,2296.422 ,1787 ,1024 ,638 ,0 
,11217-12,1112,7156 ,3558 ,3476 ,3558 ,3493 ,1309 ,540 ,838.771 ,230 ,234 ,108.228 ,153 ,48 ,32 ,0 
,11218,1111,118738 ,61354 ,59645 ,61344 ,59808 ,21482 ,7406 ,14259.451 ,5037 ,5101 ,2333.548 ,2435 ,976 ,778 ,0 
,11219,1106,193063 ,104229 ,101697 ,104236 ,102167 ,31360 ,13230 ,26757.262 ,9147 ,9712 ,4740.737 ,3948 ,1760 ,1512 ,0 
,11221,1103,208126 ,107206 ,104239 ,107199 ,105193 ,33616 ,15467 ,24190.367 ,10474 ,8844 ,4719.632 ,4761 ,1427 ,1694 ,0 
,11222,,287096 ,150225 ,146617 ,150210 ,147386 ,49218 ,21249 ,34964.836 ,14103 ,10323 ,6568.162 ,6583 ,2293 ,2084 ,0 
,11222-3,1103,254481 ,132792 ,129758 ,132780 ,130252 ,43861 ,18824 ,30674.017 ,12510 ,8916 ,5799.982 ,5801 ,2001 ,1865 ,0 
,11222-13,1113,32615 ,17433 ,16859 ,17430 ,17134 ,5357 ,2425 ,4290.819 ,1593 ,1407 ,768.180 ,782 ,292 ,219 ,0 
,11223,1115,59983 ,33728 ,33031 ,33721 ,33046 ,10427 ,3795 ,6765.453 ,4869 ,3395 ,1425.546 ,1333 ,504 ,532 ,0 
,11224,1115,111041 ,56753 ,55566 ,56749 ,55637 ,17293 ,6938 ,10927.267 ,8998 ,4435 ,2741.732 ,2553 ,757 ,994 ,0 
,11225,1109,123979 ,67634 ,66152 ,67628 ,66490 ,21864 ,9531 ,16199.077 ,5921 ,5692 ,2600.922 ,2771 ,1009 ,902 ,0 
,11227,1104,117161 ,64532 ,62675 ,64534 ,63287 ,20444 ,7687 ,11915.482 ,7370 ,4650 ,6005.517 ,3033 ,982 ,1200 ,0 
,11228,1104,63163 ,34651 ,33893 ,34651 ,33946 ,11605 ,3952 ,6955.150 ,3408 ,2717 ,2884.849 ,1365 ,549 ,510 ,0 
,11229,1104,68926 ,38082 ,37054 ,38074 ,37406 ,12768 ,3715 ,6757.820 ,4363 ,3014 ,3727.179 ,1770 ,598 ,693 ,0 
,11230,1104,137546 ,73495 ,71364 ,73498 ,72213 ,20435 ,11826 ,13204.695 ,6940 ,8453 ,5739.304 ,3440 ,1045 ,1130 ,0 
,11231,1106,63669 ,35039 ,34310 ,35037 ,34422 ,11458 ,4101 ,9336.102 ,2910 ,2647 ,1559.897 ,1230 ,705 ,475 ,0 
,11232,,128549 ,70945 ,69232 ,70939 ,69865 ,23114 ,9331 ,16570.699 ,6298 ,6094 ,3716.299 ,2519 ,1334 ,888 ,0 
,11232-13,1113,73984 ,40840 ,39872 ,40835 ,40172 ,13493 ,5301 ,10326.120 ,3377 ,3372 ,1580.879 ,1397 ,828 ,497 ,0 
,11232-14,1114,54565 ,30105 ,29360 ,30104 ,29693 ,9621 ,4030 ,6244.579 ,2921 ,2722 ,2135.420 ,1122 ,506 ,391 ,0 
,11233,1106,56951 ,32764 ,32128 ,32760 ,32188 ,10316 ,3870 ,9359.649 ,2614 ,2484 ,1455.350 ,1114 ,560 ,415 ,0 
,11234,1114,75496 ,33559 ,32652 ,33556 ,32933 ,10132 ,5579 ,5043.459 ,3273 ,2860 ,3691.540 ,1426 ,393 ,535 ,0 
,11235,1107,93194 ,47771 ,46553 ,47764 ,46889 ,14890 ,6278 ,9899.776 ,5864 ,4622 ,2143.223 ,1888 ,649 ,655 ,0 
,11237,1114,116865 ,57018 ,55432 ,57009 ,55939 ,15555 ,8653 ,8402.924 ,5521 ,5388 ,8536.075 ,2346 ,705 ,832 ,0 
,11238,1113,52874 ,29219 ,28458 ,29214 ,28627 ,9152 ,3446 ,7856.226 ,2613 ,2684 ,1058.773 ,967 ,507 ,343 ,0 
,11239,1110,83339 ,45552 ,44549 ,45549 ,44731 ,14408 ,6604 ,11017.945 ,3839 ,3770 ,1675.054 ,1755 ,988 ,674 ,0 
,11240,1114,42857 ,23777 ,23242 ,23776 ,23196 ,8083 ,4245 ,4396.406 ,1913 ,1718 ,1406.593 ,809 ,339 ,286 ,0 
,11241,1110,58869 ,33347 ,32449 ,33338 ,32731 ,10238 ,4569 ,8152.459 ,3197 ,2669 ,1417.540 ,1342 ,612 ,534 ,0 
,11242,1109,46417 ,26235 ,25633 ,26238 ,25770 ,8513 ,3651 ,6489.743 ,2068 ,2298 ,914.256 ,1092 ,419 ,325 ,0 
,11243,1114,59170 ,30705 ,29867 ,30700 ,30081 ,9433 ,4616 ,5423.126 ,2737 ,2739 ,2904.873 ,1304 ,485 ,439 ,0 
,11245,,94117 ,52198 ,50473 ,52193 ,51250 ,16777 ,6539 ,10845.888 ,5847 ,5182 ,2305.110 ,2086 ,879 ,789 ,0 
,11245-7,1107,50321 ,28186 ,27206 ,28181 ,27634 ,9119 ,3288 ,6064.372 ,3220 ,2717 ,1188.627 ,1117 ,471 ,449 ,0 
,11245-8,1108,43796 ,24012 ,23267 ,24012 ,23616 ,7658 ,3251 ,4781.516 ,2627 ,2465 ,1116.483 ,969 ,408 ,340 ,0 
,11246,1113,44159 ,24521 ,23951 ,24520 ,23971 ,7694 ,3040 ,6750.536 ,2326 ,1575 ,1000.463 ,873 ,395 ,317 ,0 
,11301,1106,36802 ,19259 ,18833 ,19259 ,18948 ,5799 ,2777 ,5002.377 ,1556 ,1653 ,861.622 ,717 ,326 ,256 ,0 
,11324,1108,31552 ,17907 ,17514 ,17906 ,17536 ,5664 ,2685 ,3585.302 ,1791 ,1695 ,862.697 ,721 ,297 ,235 ,0 
,11326,1109,28819 ,15434 ,15036 ,15436 ,15152 ,4996 ,2651 ,3572.936 ,1093 ,1159 ,510.063 ,575 ,362 ,233 ,0 
,11327,1109,9907 ,5941 ,5812 ,5941 ,5799 ,2144 ,743 ,1303.064 ,460 ,580 ,184.935 ,223 ,116 ,45 ,0 
,11341,1110,15372 ,9152 ,8839 ,9152 ,8852 ,3182 ,1024 ,2281.755 ,676 ,611 ,351.244 ,423 ,172 ,131 ,0 
,11342,1110,15078 ,8990 ,8780 ,8985 ,8790 ,3169 ,1128 ,2187.284 ,652 ,730 ,285.715 ,364 ,167 ,107 ,0 
,11343,1110,25626 ,16028 ,15676 ,16028 ,15768 ,5551 ,2025 ,4251.160 ,1155 ,1281 ,496.839 ,512 ,322 ,174 ,0 
,11346,1110,16896 ,10299 ,10102 ,10299 ,10000 ,4001 ,1531 ,2260.807 ,678 ,689 ,291.192 ,283 ,178 ,88 ,0 
,11347,1110,16360 ,9879 ,9617 ,9879 ,9615 ,3281 ,1554 ,2492.088 ,658 ,759 ,323.911 ,310 ,142 ,95 ,0 
,11348,1110,11987 ,7891 ,7721 ,7891 ,7764 ,2308 ,1049 ,2236.992 ,621 ,741 ,289.007 ,292 ,164 ,63 ,0 
,11349,1110,9544 ,5861 ,5738 ,5862 ,5745 ,2019 ,906 ,1421.877 ,403 ,395 ,187.122 ,256 ,93 ,64 ,0 
,11361,1111,6892 ,3914 ,3819 ,3914 ,3813 ,1446 ,570 ,846.767 ,273 ,294 ,150.232 ,128 ,71 ,34 ,0 
,11362,1111,8151 ,4574 ,4461 ,4574 ,4460 ,1741 ,497 ,906.398 ,340 ,558 ,134.601 ,143 ,90 ,50 ,0 
,11363,1111,5944 ,3369 ,3285 ,3368 ,3297 ,1252 ,359 ,862.926 ,221 ,291 ,113.073 ,93 ,74 ,31 ,0 
,11365,1111,9571 ,5110 ,4982 ,5109 ,4961 ,2058 ,773 ,970.991 ,321 ,435 ,138.008 ,152 ,72 ,41 ,0 
,11369,1111,2419 ,1680 ,1658 ,1677 ,1629 ,650 ,273 ,374.634 ,80 ,104 ,43.365 ,51 ,36 ,17 ,0 
,11381,1111,9395 ,5010 ,4724 ,5009 ,4833 ,1795 ,862 ,995.760 ,335 ,380 ,144.239 ,183 ,79 ,59 ,0 
,11383,1111,11158 ,5741 ,5567 ,5742 ,5589 ,2081 ,951 ,1194.468 ,385 ,419 ,184.531 ,211 ,93 ,70 ,0 
,11385,1111,25249 ,13025 ,12638 ,13026 ,12718 ,4497 ,1957 ,2886.002 ,1038 ,904 ,515.997 ,521 ,213 ,186 ,0 
,11408,1111,28075 ,15561 ,15142 ,15561 ,15174 ,5084 ,2480 ,3318.318 ,1048 ,1657 ,501.681 ,559 ,318 ,208 ,0 
,11442,1113,28759 ,15870 ,15540 ,15868 ,15603 ,4977 ,2419 ,4006.422 ,1357 ,1276 ,570.577 ,535 ,271 ,191 ,0 
,11464,1114,37993 ,19797 ,19366 ,19795 ,19431 ,6341 ,3122 ,3881.221 ,1621 ,1679 ,1455.778 ,738 ,342 ,251 ,0 
,11465,1114,24386 ,11310 ,11027 ,11308 ,11084 ,3244 ,2402 ,1950.874 ,899 ,1104 ,749.125 ,416 ,170 ,149 ,0 
,12000,,5265989 ,2824876 ,2747163 ,2824522 ,2764556 ,980402 ,343148 ,609764.924 ,309177 ,192933 ,147432.013 ,104798 ,39189 ,37712 ,0 
,,1201,430513 ,234690 ,228451 ,234626 ,229725 ,80995 ,23804 ,56829.715 ,23501 ,16135 ,13498.282 ,8443 ,3245 ,3274 ,0 
,,1202,460509 ,251675 ,246652 ,251628 ,246444 ,88499 ,28246 ,53766.877 ,26112 ,20807 ,13351.120 ,8940 ,3274 ,3448 ,0 
,,1203,336241 ,176042 ,172127 ,176015 ,172103 ,64454 ,25103 ,38715.664 ,15334 ,10493 ,8186.334 ,5463 ,2102 ,2252 ,0 
,,1204,463083 ,244013 ,239225 ,244016 ,239386 ,79519 ,23647 ,60992.517 ,25172 ,19494 ,14696.482 ,9225 ,3154 ,3486 ,0 
,,1205,450365 ,243522 ,238421 ,243474 ,238576 ,82275 ,21584 ,46869.843 ,36599 ,15247 ,20034.155 ,9138 ,3004 ,3825 ,0 
,,1206,369609 ,195874 ,190120 ,195844 ,191647 ,61314 ,25202 ,34301.234 ,31127 ,16325 ,10147.764 ,7392 ,2998 ,2840 ,0 
,,1207,434040 ,236715 ,231939 ,236694 ,232009 ,79587 ,27729 ,50469.365 ,30578 ,16878 ,11393.632 ,8195 ,3752 ,3427 ,0 
,,1208,423866 ,238059 ,226526 ,238039 ,232917 ,78191 ,24842 ,58654.303 ,25380 ,16859 ,12673.695 ,9298 ,3914 ,3105 ,0 
,,1209,407331 ,215942 ,210063 ,215913 ,211521 ,74971 ,27038 ,51584.292 ,18987 ,14611 ,10656.704 ,7879 ,3141 ,2653 ,0 
,,1210,341141 ,181770 ,177238 ,181747 ,176849 ,72226 ,23924 ,40209.957 ,13637 ,8258 ,8076.034 ,5851 ,2464 ,2203 ,0 
,,1211,351570 ,180631 ,171527 ,180619 ,176070 ,68536 ,29372 ,28711.710 ,14655 ,12310 ,7187.274 ,10666 ,2656 ,1976 ,0 
,,1212,380864 ,198805 ,192487 ,198788 ,194346 ,76015 ,33215 ,38328.872 ,16202 ,10598 ,8278.120 ,6808 ,2574 ,2327 ,0 
,,1213,416857 ,227138 ,222387 ,227119 ,222963 ,73820 ,29442 ,50330.575 ,31893 ,14918 ,9252.417 ,7500 ,2911 ,2896 ,0 
,12101,1201,175707 ,88935 ,86437 ,88905 ,86904 ,31623 ,10200 ,19926.049 ,8405 ,5435 ,5521.950 ,3299 ,1189 ,1305 ,0 
,12102,1202,149432 ,80082 ,78387 ,80062 ,78344 ,26581 ,9738 ,17406.293 ,7643 ,7933 ,4244.706 ,2764 ,1000 ,1034 ,0 
,12103,1201,131524 ,71934 ,69940 ,71910 ,70408 ,24345 ,7587 ,17684.712 ,7064 ,5199 ,4061.287 ,2464 ,1033 ,970 ,0 
,12104,1209,125261 ,61821 ,60021 ,61811 ,60432 ,22054 ,7959 ,14011.888 ,5050 ,4455 ,3092.111 ,2190 ,835 ,785 ,0 
,12105,1203,106374 ,57851 ,56548 ,57835 ,56700 ,21103 ,6361 ,12892.258 ,5843 ,3807 ,3173.741 ,1964 ,771 ,785 ,0 
,12106,1201,123282 ,73821 ,72074 ,73811 ,72413 ,25027 ,6017 ,19218.954 ,8032 ,5501 ,3915.045 ,2680 ,1023 ,999 ,0 
,12202,1210,50181 ,25728 ,25073 ,25726 ,24650 ,10374 ,3725 ,5212.875 ,1774 ,1258 ,893.124 ,810 ,362 ,241 ,0 
,12203,,408283 ,215951 ,210532 ,215892 ,211043 ,70534 ,22381 ,39521.321 ,32364 ,15491 ,16330.677 ,8150 ,2943 ,3328 ,0 
,12203-5,1205,310307 ,163573 ,159859 ,163531 ,160015 ,54115 ,15328 ,30551.068 ,24339 ,10930 ,13775.931 ,6209 ,2129 ,2638 ,0 
,12203-6,1206,97976 ,52378 ,50673 ,52361 ,51028 ,16419 ,7053 ,8970.253 ,8025 ,4561 ,2554.746 ,1941 ,814 ,690 ,0 
,12204,,531863 ,278323 ,272694 ,278328 ,273095 ,89491 ,28525 ,69119.075 ,28886 ,23237 ,16008.923 ,10379 ,3564 ,3885 ,0 
,12204-4,1204,463083 ,244013 ,239225 ,244016 ,239386 ,79519 ,23647 ,60992.517 ,25172 ,19494 ,14696.482 ,9225 ,3154 ,3486 ,0 
,12204-13,1213,68780 ,34310 ,33469 ,34312 ,33709 ,9972 ,4878 ,8126.558 ,3714 ,3743 ,1312.441 ,1154 ,410 ,399 ,0 
,12205,1212,39403 ,20123 ,19506 ,20121 ,19814 ,7571 ,3141 ,4253.644 ,1596 ,1225 ,730.355 ,761 ,337 ,199 ,0 
,12206,1212,112529 ,56446 ,54477 ,56437 ,55511 ,21433 ,9298 ,10846.891 ,5076 ,2807 ,2496.108 ,2109 ,660 ,785 ,0 
,12207,,414470 ,221310 ,215519 ,221285 ,216998 ,70486 ,27390 ,42176.798 ,33059 ,17667 ,11428.200 ,8215 ,3291 ,3285 ,0 
,12207-6,1206,271633 ,143496 ,139447 ,143483 ,140619 ,44895 ,18149 ,25330.981 ,23102 ,11764 ,7593.018 ,5451 ,2184 ,2150 ,0 
,12207-7,1207,142837 ,77814 ,76072 ,77802 ,76379 ,25591 ,9241 ,16845.817 ,9957 ,5903 ,3835.182 ,2764 ,1107 ,1135 ,0 
,12208,1207,128873 ,63014 ,61554 ,63006 ,61408 ,20969 ,9362 ,13468.748 ,6707 ,4208 ,2473.251 ,2265 ,1108 ,847 ,0 
,12210,1211,75633 ,37449 ,35628 ,37450 ,36416 ,13518 ,5573 ,6490.856 ,3298 ,2585 ,1646.143 ,2362 ,506 ,437 ,0 
,12211,1210,105305 ,54628 ,52921 ,54622 ,53552 ,20713 ,6268 ,11946.541 ,5245 ,2708 ,2898.458 ,2110 ,787 ,876 ,0 
,12212,1209,146332 ,84624 ,82504 ,84617 ,83042 ,28831 ,8955 ,21453.426 ,8172 ,5826 ,4303.573 ,3116 ,1347 ,1038 ,0 
,12213,1211,48626 ,24333 ,22922 ,24332 ,23582 ,8706 ,4223 ,3760.958 ,2135 ,1650 ,1033.041 ,1425 ,358 ,291 ,0 
,12215,1210,53873 ,27937 ,27343 ,27937 ,27399 ,11648 ,3963 ,6114.720 ,1919 ,978 ,1197.279 ,869 ,375 ,335 ,0 
,12216,1202,144967 ,83875 ,82102 ,83860 ,82033 ,30058 ,8061 ,18158.502 ,9277 ,6502 ,4659.497 ,2994 ,1147 ,1176 ,0 
,12217,,355600 ,195831 ,186574 ,195820 ,191688 ,64678 ,21841 ,46687.963 ,21399 ,13516 ,10208.035 ,7691 ,3142 ,2525 ,0 
,12217-8,1208,311891 ,172545 ,164053 ,172539 ,168921 ,56873 ,18402 ,41754.625 ,18707 ,12143 ,9225.374 ,6857 ,2733 ,2226 ,0 
,12217-13,1213,43709 ,23286 ,22521 ,23281 ,22767 ,7805 ,3439 ,4933.338 ,2692 ,1373 ,982.661 ,834 ,409 ,299 ,0 
,12218,1211,14920 ,7536 ,7174 ,7534 ,7270 ,3382 ,833 ,1120.157 ,519 ,603 ,272.842 ,382 ,103 ,55 ,0 
,12219,1203,229867 ,118191 ,115579 ,118180 ,115403 ,43351 ,18742 ,25823.406 ,9491 ,6686 ,5012.593 ,3499 ,1331 ,1467 ,0 
,12220,1207,162330 ,95887 ,94313 ,95886 ,94222 ,33027 ,9126 ,20154.800 ,13914 ,6767 ,5085.199 ,3166 ,1537 ,1445 ,0 
,12221,1202,166110 ,87718 ,86163 ,87706 ,86067 ,31860 ,10447 ,18202.082 ,9192 ,6372 ,4446.917 ,3182 ,1127 ,1238 ,0 
,12222,1208,111975 ,65514 ,62473 ,65500 ,63996 ,21318 ,6440 ,16899.678 ,6673 ,4716 ,3448.321 ,2441 ,1181 ,879 ,0 
,12223,1212,27715 ,14702 ,14223 ,14702 ,14345 ,5829 ,2640 ,2644.019 ,1072 ,703 ,512.980 ,579 ,199 ,166 ,0 
,12224,1213,93056 ,49846 ,48972 ,49840 ,48737 ,14527 ,6683 ,10603.522 ,8991 ,2987 ,2019.477 ,1591 ,650 ,685 ,0 
,12225,1212,70993 ,37695 ,36522 ,37692 ,36741 ,13922 ,6702 ,7472.951 ,2964 ,1900 ,1673.048 ,1161 ,490 ,456 ,0 
,12226,1212,37773 ,19951 ,19375 ,19949 ,19314 ,8042 ,3573 ,3482.423 ,1310 ,1110 ,783.576 ,591 ,229 ,193 ,0 
,12227,1205,140058 ,79949 ,78562 ,79943 ,78561 ,28160 ,6256 ,16318.775 ,12260 ,4317 ,6258.224 ,2929 ,875 ,1187 ,0 
,12228,1209,78007 ,42357 ,41314 ,42348 ,41467 ,15015 ,4690 ,10529.826 ,3791 ,2675 ,2102.173 ,1518 ,610 ,536 ,0 
,12229,1212,53606 ,27902 ,26994 ,27902 ,27142 ,10373 ,4205 ,5450.247 ,2565 ,1558 ,1318.752 ,933 ,368 ,371 ,0 
,12230,1209,57731 ,27140 ,26224 ,27137 ,26580 ,9071 ,5434 ,5589.152 ,1974 ,1655 ,1158.847 ,1055 ,349 ,294 ,0 
,12231,1213,84285 ,48934 ,48133 ,48932 ,48097 ,17819 ,4965 ,10648.233 ,7324 ,2557 ,2117.766 ,1552 ,513 ,601 ,0 
,12232,1213,51118 ,30230 ,29689 ,30226 ,29685 ,9685 ,3605 ,6795.869 ,4625 ,2021 ,1210.130 ,960 ,410 ,373 ,0 
,12233,1213,40597 ,20242 ,19708 ,20241 ,19975 ,6676 ,3577 ,4228.893 ,2260 ,1056 ,823.106 ,792 ,262 ,300 ,0 
,12234,1212,32283 ,17905 ,17401 ,17903 ,17485 ,7193 ,2931 ,3397.238 ,1339 ,1047 ,650.761 ,556 ,241 ,130 ,0 
,12235,1210,30212 ,15616 ,15239 ,15609 ,15025 ,6439 ,1974 ,3321.471 ,1040 ,732 ,681.528 ,465 ,205 ,167 ,0 
,12236,1210,63984 ,35088 ,34362 ,35083 ,33952 ,13430 ,4713 ,8684.141 ,2302 ,1652 ,1482.858 ,936 ,424 ,328 ,0 
,12237,1211,43029 ,21152 ,20072 ,21145 ,20772 ,7830 ,4479 ,3101.421 ,1584 ,1381 ,782.578 ,1093 ,299 ,222 ,0 
,12238,1211,32158 ,16563 ,15698 ,16562 ,16012 ,6529 ,2217 ,2637.777 ,1255 ,1184 ,628.222 ,1069 ,335 ,157 ,0 
,12239,1211,41791 ,22466 ,21269 ,22466 ,22152 ,8065 ,3591 ,3887.453 ,2055 ,1641 ,990.546 ,1312 ,298 ,312 ,0 
,12322,1213,17493 ,9815 ,9638 ,9813 ,9705 ,3611 ,1067 ,2430.143 ,1000 ,658 ,407.856 ,305 ,106 ,120 ,0 
,12329,1213,17819 ,10475 ,10257 ,10474 ,10288 ,3725 ,1228 ,2564.019 ,1287 ,523 ,378.980 ,312 ,151 ,119 ,0 
,12342,1210,5090 ,3152 ,3097 ,3153 ,3093 ,1206 ,478 ,705.415 ,230 ,145 ,142.584 ,96 ,45 ,45 ,0 
,12347,1210,12151 ,7521 ,7352 ,7519 ,7348 ,3173 ,1007 ,1713.022 ,393 ,381 ,283.977 ,205 ,104 ,88 ,0 
,12349,1210,11573 ,7151 ,7008 ,7150 ,6987 ,3318 ,1086 ,1330.277 ,459 ,160 ,277.722 ,194 ,92 ,70 ,0 
,12403,1211,13310 ,6539 ,6205 ,6539 ,6442 ,2451 ,1394 ,923.109 ,492 ,475 ,228.890 ,332 ,81 ,65 ,0 
,12409,1211,6026 ,3060 ,2916 ,3060 ,3002 ,1294 ,449 ,516.752 ,216 ,164 ,115.247 ,153 ,61 ,33 ,0 
,12410,,19773 ,10506 ,10125 ,10505 ,10288 ,4036 ,1943 ,2019.077 ,667 ,528 ,404.921 ,441 ,143 ,106 ,0 
,12410-10,1210,8772 ,4949 ,4843 ,4948 ,4843 ,1925 ,710 ,1181.495 ,275 ,244 ,218.504 ,166 ,70 ,53 ,0 
,12410-11,1211,11001 ,5557 ,5282 ,5557 ,5445 ,2111 ,1233 ,837.582 ,392 ,284 ,186.417 ,275 ,73 ,53 ,0 
,12421,1211,10362 ,5876 ,5583 ,5876 ,5756 ,2268 ,623 ,1012.113 ,538 ,377 ,246.886 ,504 ,106 ,81 ,0 
,12422,1211,5995 ,3365 ,3250 ,3365 ,3323 ,1405 ,538 ,523.861 ,261 ,209 ,110.138 ,186 ,60 ,30 ,0 
,12423,1211,12142 ,6391 ,6139 ,6391 ,6174 ,2478 ,1023 ,911.457 ,457 ,483 ,241.542 ,390 ,120 ,70 ,0 
,12424,1211,9566 ,5124 ,4876 ,5124 ,4925 ,2070 ,782 ,747.082 ,380 ,341 ,171.917 ,346 ,49 ,38 ,0 
,12426,1211,5929 ,3211 ,3084 ,3210 ,3150 ,1309 ,571 ,460.444 ,251 ,179 ,131.555 ,174 ,35 ,39 ,0 
,12427,1211,6877 ,4056 ,3911 ,4056 ,3948 ,1835 ,704 ,538.828 ,259 ,214 ,129.171 ,183 ,52 ,33 ,0 
,12441,1211,7615 ,4340 ,4134 ,4339 ,4242 ,1856 ,738 ,638.110 ,253 ,254 ,145.889 ,267 ,53 ,37 ,0 
,12443,1211,6590 ,3613 ,3384 ,3613 ,3459 ,1429 ,401 ,603.750 ,310 ,286 ,126.250 ,213 ,67 ,23 ,0 
,12463,1212,6562 ,4081 ,3989 ,4082 ,3994 ,1652 ,725 ,781.459 ,280 ,248 ,112.540 ,118 ,50 ,27 ,0 
,13000,,11486835 ,6571541 ,6366478 ,6570730 ,6446898 ,2000084 ,715450 ,1293281.168 ,858577 ,670340 ,306179.757 ,360387 ,92995 ,92353 ,57251 
,,1301,462609 ,260310 ,254121 ,260280 ,255666 ,87054 ,20229 ,46104.746 ,42227 ,24694 ,11982.251 ,13766 ,3214 ,4225 ,2170 
,,1302,463165 ,281720 ,274603 ,281690 ,276812 ,95660 ,16939 ,53611.336 ,43412 ,27650 ,14227.660 ,15032 ,3349 ,4594 ,2337 
,,1303,470083 ,281438 ,272362 ,281395 ,275871 ,89948 ,27226 ,55958.634 ,36785 ,27965 ,13960.359 ,14136 ,3545 ,4117 ,2230 
,,1304,474029 ,258030 ,249885 ,258006 ,253420 ,76542 ,34991 ,39898.834 ,40656 ,28322 ,12292.165 ,11837 ,3078 ,3591 ,2212 
,,1305,464694 ,278946 ,271451 ,278932 ,274655 ,84950 ,19943 ,59685.589 ,44912 ,24720 ,13917.409 ,17102 ,3797 ,3739 ,1889 
,,1306,467339 ,282071 ,274845 ,282079 ,277593 ,82414 ,20721 ,61843.234 ,43666 ,26803 ,13739.765 ,19037 ,4367 ,3075 ,1927 
,,1307,459575 ,259517 ,252896 ,259466 ,254937 ,78978 ,20540 ,56844.153 ,35895 ,24480 ,12773.842 ,16183 ,3235 ,3882 ,2126 
,,1308,476188 ,290634 ,283485 ,290625 ,285594 ,85703 ,19855 ,65028.311 ,36311 ,30998 ,14752.688 ,22687 ,4346 ,3726 ,2187 
,,1309,478743 ,276290 ,267706 ,276278 ,270911 ,79606 ,29508 ,56787.412 ,37831 ,27464 ,12902.587 ,14816 ,4092 ,3942 ,3962 
,,1310,479088 ,270684 ,262853 ,270642 ,265591 ,79892 ,26917 ,56970.980 ,33080 ,28363 ,13751.016 ,15707 ,3755 ,4152 ,3003 
,,1311,462626 ,254315 ,245043 ,254302 ,249751 ,74069 ,31154 ,50256.868 ,30001 ,28963 ,11978.131 ,13509 ,3796 ,3664 ,2360 
,,1312,462732 ,265821 ,253291 ,265794 ,260304 ,77845 ,38472 ,39476.346 ,37983 ,32878 ,11379.650 ,12648 ,3594 ,3678 ,2350 
,,1313,480247 ,244353 ,234562 ,244341 ,239554 ,75366 ,36281 ,44188.668 ,24600 ,27088 ,10080.331 ,13517 ,2713 ,3598 ,2122 
,,1314,465702 ,260611 ,251111 ,260584 ,255077 ,79885 ,33216 ,42518.723 ,38360 ,26240 ,12307.274 ,13053 ,2980 ,4130 ,2387 
,,1315,424125 ,249103 ,238320 ,249055 ,243455 ,77817 ,29022 ,40763.743 ,39729 ,24159 ,10696.256 ,11085 ,2845 ,3964 ,3374 
,,1316,465115 ,239908 ,229528 ,239802 ,234963 ,71700 ,37638 ,41378.656 ,31363 ,22276 ,10316.343 ,11487 ,2407 ,4108 ,2289 
,,1317,475912 ,252512 ,238056 ,252481 ,246511 ,79766 ,33690 ,36388.021 ,36290 ,25698 ,13637.977 ,11859 ,2928 ,3912 ,2342 
,,1318,444924 ,266326 ,259123 ,266272 ,261007 ,82174 ,20649 ,65239.696 ,29714 ,24693 ,13418.301 ,15044 ,4404 ,3564 ,2107 
,,1319,439147 ,263486 ,258580 ,263426 ,259039 ,76910 ,26343 ,61695.258 ,33150 ,25928 ,11567.739 ,13883 ,4326 ,3262 ,1974 
,,1320,418245 ,237441 ,231226 ,237410 ,232792 ,66741 ,35955 ,42497.841 ,27022 ,31697 ,8773.154 ,11630 ,3765 ,2887 ,1824 
,,1321,438466 ,253070 ,247050 ,253038 ,248367 ,76405 ,25829 ,53601.239 ,31443 ,27268 ,10863.755 ,13347 ,4207 ,3465 ,1938 
,,1322,478721 ,287274 ,280260 ,287213 ,282356 ,85712 ,26309 ,65271.144 ,31427 ,28295 ,13587.852 ,21584 ,4234 ,3728 ,2208 
,,1323,458998 ,267918 ,259938 ,267893 ,263253 ,81543 ,29062 ,61512.334 ,28801 ,27143 ,10902.664 ,14163 ,4543 ,3517 ,2066 
