ESTIMATE,CODE,CODE4,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KYOSAN,H_KOKUMIN,H_REIWA,H_SHAMIN,H_NHK,H_OTHER
dummy,dummy,dummy,,,,,,,,,,,,,,,
,01211,0112,29308 ,17581 ,17178 ,17573 ,17052 ,5935 ,2229 ,4337.206 ,1162 ,1521 ,407.793 ,604 ,230 ,278 ,348 
,01212,0110,17594 ,11296 ,10994 ,11296 ,10888 ,4152 ,1603 ,2726.768 ,794 ,509 ,231.231 ,388 ,152 ,174 ,158 
,01213,0109,143979 ,78998 ,77424 ,78984 ,77272 ,21692 ,11376 ,20475.154 ,6018 ,8036 ,2461.845 ,3043 ,1175 ,1410 ,1585 
,01214,0112,28034 ,15708 ,15271 ,15708 ,15324 ,5843 ,2297 ,3249.136 ,1047 ,1258 ,345.863 ,582 ,237 ,246 ,219 
,01215,0110,18214 ,11494 ,11181 ,11493 ,11075 ,4044 ,1541 ,2945.955 ,629 ,803 ,241.044 ,392 ,184 ,139 ,156 
,01216,0110,11474 ,7900 ,7758 ,7901 ,7692 ,2287 ,1659 ,2093.680 ,363 ,627 ,112.319 ,205 ,116 ,108 ,121 
,01217,0105,102373 ,63029 ,62036 ,63030 ,61668 ,18815 ,6942 ,18317.882 ,4756 ,5272 ,1862.117 ,2463 ,979 ,986 ,1275 
,01218,0110,8597 ,5515 ,5410 ,5514 ,5313 ,1490 ,1049 ,1569.238 ,246 ,418 ,103.761 ,165 ,117 ,77 ,78 
,01219,0112,18255 ,10094 ,9845 ,10092 ,9690 ,3743 ,992 ,2379.194 ,828 ,646 ,224.805 ,418 ,165 ,157 ,137 
,01220,0106,15737 ,9818 ,9675 ,9818 ,9465 ,3483 ,1109 ,3075.981 ,477 ,471 ,164.018 ,270 ,140 ,161 ,114 
,01221,0106,23104 ,14908 ,14643 ,14908 ,14365 ,6290 ,1252 ,3807.675 ,762 ,604 ,376.324 ,442 ,333 ,287 ,211 
,01222,0110,7116 ,4670 ,4539 ,4670 ,4486 ,1226 ,840 ,1447.380 ,213 ,249 ,78.619 ,169 ,128 ,60 ,75 
,01223,0107,21137 ,10847 ,10544 ,10847 ,10343 ,4601 ,841 ,2071.490 ,883 ,925 ,196.509 ,431 ,132 ,119 ,143 
,01224,0105,81850 ,44208 ,43218 ,44201 ,42782 ,19326 ,5311 ,8258.181 ,3242 ,1754 ,1281.818 ,1572 ,438 ,783 ,816 
,01225,0110,34012 ,20281 ,19667 ,20280 ,19814 ,6706 ,2651 ,5435.733 ,1269 ,1326 ,515.266 ,778 ,370 ,367 ,396 
,01226,0110,14430 ,9544 ,9337 ,9544 ,9356 ,2662 ,1526 ,3147.924 ,492 ,522 ,189.075 ,314 ,202 ,145 ,156 
,01227,0110,2771 ,1956 ,1928 ,1956 ,1888 ,517 ,411 ,532.597 ,78 ,163 ,34.402 ,58 ,60 ,15 ,19 
,01228,0110,17602 ,11321 ,11087 ,11321 ,10880 ,3554 ,1124 ,3574.012 ,595 ,933 ,201.987 ,370 ,171 ,190 ,167 
,01229,0106,17889 ,10879 ,10692 ,10879 ,10511 ,3778 ,1342 ,2952.455 ,691 ,553 ,254.544 ,414 ,166 ,159 ,201 
,01230,0109,40388 ,23511 ,23079 ,23511 ,22789 ,6850 ,3100 ,7073.361 ,1489 ,1717 ,632.638 ,775 ,426 ,307 ,419 
,01231,0105,58951 ,36329 ,35607 ,36329 ,35770 ,15348 ,4062 ,8158.738 ,2474 ,1846 ,943.261 ,1248 ,426 ,568 ,696 
,01233,0109,28617 ,17041 ,16616 ,17040 ,16383 ,4809 ,2103 ,5054.243 ,1083 ,1371 ,520.756 ,618 ,310 ,226 ,288 
,01234,0105,49524 ,30291 ,29739 ,30285 ,29599 ,8845 ,3176 ,8947.992 ,2429 ,2557 ,817.007 ,1202 ,545 ,515 ,565 
,01235,0105,49021 ,27798 ,27327 ,27795 ,27182 ,7978 ,3937 ,7534.800 ,2168 ,2327 ,760.199 ,1104 ,453 ,454 ,466 
,01236,0108,38204 ,22200 ,21968 ,22197 ,21647 ,8220 ,2233 ,6099.888 ,1202 ,1443 ,492.111 ,886 ,384 ,333 ,354 
,01303,0105,13819 ,8777 ,8561 ,8778 ,8516 ,3037 ,1022 ,2012.224 ,608 ,866 ,168.775 ,361 ,122 ,158 ,161 
,01304,0105,2561 ,1886 ,1866 ,1885 ,1808 ,877 ,202 ,335.408 ,90 ,109 ,42.591 ,75 ,32 ,18 ,27 
,01331,0108,6018 ,4117 ,4082 ,4117 ,3876 ,1836 ,599 ,954.356 ,132 ,90 ,65.643 ,91 ,38 ,27 ,43 
,01332,0108,3430 ,2306 ,2284 ,2305 ,2227 ,1069 ,259 ,556.794 ,79 ,107 ,37.205 ,45 ,28 ,22 ,24 
,01333,0108,3604 ,2484 ,2458 ,2484 ,2384 ,1111 ,350 ,606.357 ,82 ,84 ,46.642 ,52 ,10 ,29 ,13 
,01334,0108,3579 ,2460 ,2440 ,2460 ,2365 ,1061 ,219 ,725.815 ,87 ,85 ,42.184 ,65 ,37 ,25 ,18 
,01337,0108,23919 ,14808 ,14597 ,14806 ,14271 ,4867 ,1519 ,4524.865 ,761 ,1087 ,319.134 ,582 ,236 ,200 ,175 
,01343,0108,3209 ,2035 ,2011 ,2035 ,1943 ,913 ,183 ,511.737 ,78 ,96 ,33.262 ,46 ,32 ,22 ,28 
,01345,0108,12580 ,7930 ,7762 ,7929 ,7496 ,3238 ,814 ,1932.705 ,327 ,551 ,139.294 ,239 ,79 ,93 ,83 
,01346,0108,13343 ,8137 ,8016 ,8135 ,7836 ,2896 ,927 ,2555.241 ,347 ,440 ,152.758 ,247 ,94 ,87 ,90 
,01347,0108,4350 ,3120 ,3079 ,3120 ,2938 ,1079 ,394 ,930.361 ,137 ,161 ,48.638 ,82 ,39 ,32 ,35 
,01361,0108,6482 ,4201 ,4112 ,4201 ,4050 ,1594 ,409 ,1194.899 ,152 ,370 ,66.100 ,106 ,55 ,39 ,64 
,01362,0108,4009 ,2648 ,2590 ,2648 ,2445 ,1128 ,220 ,582.735 ,90 ,244 ,42.264 ,65 ,27 ,20 ,26 
,01363,0108,3183 ,2280 ,2239 ,2280 ,2180 ,946 ,279 ,552.432 ,79 ,152 ,31.567 ,67 ,26 ,25 ,22 
,01364,0108,3059 ,2256 ,2231 ,2256 ,2168 ,986 ,240 ,426.121 ,60 ,341 ,18.878 ,45 ,17 ,13 ,21 
,01367,0108,2200 ,1695 ,1649 ,1695 ,1625 ,778 ,272 ,317.049 ,48 ,77 ,34.950 ,38 ,17 ,20 ,23 
,01370,0108,4398 ,3102 ,3062 ,3102 ,3018 ,1292 ,272 ,959.506 ,113 ,139 ,57.493 ,75 ,50 ,26 ,34 
,01371,0108,6664 ,4886 ,4824 ,4883 ,4751 ,2105 ,583 ,1263.604 ,177 ,273 ,79.395 ,118 ,63 ,41 ,48 
,01391,0104,1246 ,819 ,811 ,824 ,792 ,296 ,144 ,209.920 ,34 ,30 ,14.080 ,29 ,14 ,8 ,13 
,01392,0104,2464 ,1872 ,1837 ,1873 ,1822 ,851 ,190 ,404.629 ,70 ,158 ,32.370 ,47 ,15 ,21 ,33 
,01393,0104,2310 ,1693 ,1661 ,1693 ,1645 ,612 ,151 ,447.921 ,82 ,230 ,21.078 ,46 ,18 ,13 ,24 
,01394,0104,3919 ,2926 ,2858 ,2921 ,2750 ,1049 ,295 ,796.029 ,133 ,199 ,51.970 ,107 ,35 ,42 ,42 
,01395,0104,3905 ,2784 ,2739 ,2784 ,2740 ,953 ,193 ,744.225 ,192 ,239 ,77.774 ,196 ,39 ,47 ,59 
,01396,0104,1683 ,1307 ,1283 ,1307 ,1259 ,547 ,148 ,331.900 ,60 ,38 ,16.099 ,63 ,19 ,14 ,22 
,01397,0104,1510 ,1033 ,1013 ,1033 ,989 ,451 ,88 ,226.680 ,59 ,51 ,19.319 ,37 ,14 ,19 ,24 
,01398,0104,1811 ,1248 ,1223 ,1246 ,1173 ,399 ,178 ,378.947 ,48 ,39 ,21.052 ,60 ,19 ,17 ,13 
,01399,0104,2430 ,1842 ,1799 ,1842 ,1758 ,766 ,308 ,377.854 ,81 ,41 ,37.145 ,81 ,20 ,20 ,26 
,01400,0104,11949 ,7947 ,7772 ,7947 ,7781 ,3186 ,886 ,1790.661 ,518 ,470 ,175.338 ,357 ,100 ,127 ,171 
,01401,0104,4922 ,3481 ,3453 ,3481 ,3386 ,1516 ,441 ,845.127 ,175 ,105 ,87.872 ,95 ,28 ,41 ,52 
,01402,0104,10334 ,6531 ,6421 ,6530 ,6392 ,2513 ,1147 ,1458.379 ,315 ,417 ,117.620 ,198 ,69 ,74 ,83 
,01403,0104,1354 ,1011 ,1003 ,1011 ,965 ,431 ,208 ,168.000 ,39 ,39 ,21.000 ,38 ,13 ,4 ,4 
,01404,0104,722 ,570 ,562 ,570 ,547 ,271 ,78 ,132.631 ,11 ,15 ,11.368 ,10 ,10 ,3 ,5 
,01405,0104,1718 ,1153 ,1123 ,1153 ,1085 ,510 ,106 ,283.406 ,47 ,57 ,11.593 ,37 ,10 ,8 ,15 
,01406,0104,2544 ,1643 ,1613 ,1643 ,1538 ,708 ,185 ,291.316 ,76 ,120 ,16.683 ,70 ,34 ,12 ,25 
,01407,0104,2731 ,1933 ,1909 ,1933 ,1860 ,690 ,238 ,422.879 ,109 ,202 ,29.120 ,79 ,40 ,21 ,29 
,01408,0104,15812 ,10058 ,9934 ,10057 ,9647 ,3693 ,1217 ,2547.896 ,482 ,876 ,144.103 ,299 ,136 ,97 ,155 
,01409,0104,898 ,678 ,665 ,678 ,660 ,228 ,100 ,165.464 ,45 ,62 ,12.535 ,30 ,5 ,3 ,9 
,01423,0110,6506 ,4253 ,4123 ,4253 ,4105 ,1412 ,656 ,1013.650 ,284 ,284 ,96.349 ,173 ,74 ,58 ,54 
,01424,0110,4585 ,3132 ,3050 ,3132 ,2996 ,901 ,406 ,968.261 ,149 ,279 ,56.738 ,135 ,35 ,36 ,30 
