CODE,POPULATION,AREA,OFFICE,WORKER,O_PRIVATE,O_1ST,O_2ND,O_3RD,W_PRIVATE,W_1ST,W_2ND,W_3RD,ADD_VALUE,SALES_EST,SALES_AGRI,SALES_MINI,SALES_CONS,SALES_MANU,SALES_SUPP,SALES_INFO,SALES_TRAN,SALES_SALE,SALES_FINA,SALES_REAL,SALES_RESE,SALES_ACCO,SALES_LIVI,SALES_EDUC,SALES_MEDI,SALES_COMP,SALES_OSERV,MANU_OFFICE,MANU_WORKER,MANU_SHIP,MANU_ADD,SHIP_FOOD,SHIP_TEXT,SHIP_WOOD,SHIP_PAPE,SHIP_CHEM,SHIP_PETR,SHIP_LEAT,SHIP_META,SHIP_MACH,SHIP_ELEC,SHIP_VEHI,SHIP_OMANU,SL_OFFICE,SL_WORKER,SL_SALES,WH_OFFICE,WH_WORKER,WH_SALES,RE_OFFICE,RE_WORKER,RE_SALES,RE_AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01346,17252,956.07,887,5923,881,27,169,685,5923,392,1597,3934,22600,118440,10407,0,12121,38610,X,X,2882,28776,6578,1267,675,2268,3956,168,4816,4293,1534,28,751,3796139,339992,-,-,-,-,-,-,-,-,-,-,-,-,196,954,25672,24,83,7389,172,871,18283,21438
01347,5926,310.76,313,2161,310,3,56,251,2161,53,666,1442,7468,27001,264,0,2734,9508,X,0,860,6384,512,X,84,714,775,423,672,2710,1274,11,312,943444,155182,-,-,-,-,-,-,-,-,-,-,-,-,69,317,5764,8,19,462,61,298,5303,6310
01361,8248,109.53,486,2994,482,6,66,410,2994,40,432,2522,10026,40815,734,0,5873,1435,788,109,1115,16155,8098,292,418,1056,633,82,2005,1049,973,6,83,119363,63479,-,-,-,-,-,-,-,-,-,-,-,-,117,656,15271,11,48,1703,106,608,13568,17683
01362,4876,547.71,219,1244,218,10,52,156,1244,62,546,636,3796,13364,441,X,3978,2825,0,X,152,3467,180,119,X,199,564,X,771,324,328,13,149,235152,92579,-,-,-,-,-,-,-,-,-,-,-,-,42,189,3143,4,5,198,38,184,2945,3093
01363,4049,460.58,201,1334,201,12,40,149,1334,117,368,849,5801,19165,1186,X,3780,2446,0,0,556,3648,X,605,246,287,2894,X,608,2252,272,7,103,234260,118819,-,-,-,-,-,-,-,-,-,-,-,-,48,169,3372,3,7,129,45,162,3243,4340
01364,3906,162.59,173,942,170,7,35,128,942,44,379,519,3514,10832,225,0,1944,4290,0,X,X,2839,152,X,X,246,101,2,387,255,207,5,202,426032,175514,-,-,-,-,-,-,-,-,-,-,-,-,37,169,2694,4,47,865,33,122,1829,1019
01367,2690,142.97,206,935,206,2,34,170,935,9,275,651,2244,8082,X,0,2757,336,X,0,444,2634,X,174,X,490,420,0,221,114,199,5,43,24767,12688,-,-,-,-,-,-,-,-,-,-,-,-,51,154,2561,3,8,106,48,146,2456,2842
01370,5628,568.25,228,1456,224,10,41,173,1456,87,318,1051,4925,18640,646,X,3457,1089,X,0,1134,7602,X,163,507,370,400,5,1317,377,1289,8,57,99185,22989,-,-,-,-,-,-,-,-,-,-,-,-,57,262,7367,2,9,X,55,253,X,8528
01371,8473,638.69,457,2411,455,6,93,356,2411,74,644,1693,9805,29848,680,365,5282,2025,X,X,679,10525,741,455,50,819,1686,11,2508,3347,586,8,101,164428,24193,-,-,-,-,-,-,-,-,-,-,-,-,113,422,9832,13,46,3120,100,376,6712,6647
01391,1499,437.18,73,329,73,1,11,61,329,10,62,257,839,2734,X,0,429,341,0,0,X,677,X,0,X,83,9,X,484,302,175,3,20,X,X,-,-,-,-,-,-,-,-,-,-,-,-,16,48,671,1,2,X,15,46,X,337
01392,3137,95.24,184,1141,183,8,30,145,1141,67,350,724,3508,13005,409,0,2338,3270,X,0,439,3733,253,X,X,257,309,X,1654,130,196,11,187,319629,97699,-,-,-,-,-,-,-,-,-,-,-,-,48,176,3620,9,30,1427,39,146,2193,2294
01393,3082,345.65,154,1079,153,7,21,125,1079,39,174,866,3096,9924,726,0,1970,1311,0,0,80,1967,X,192,11,337,87,X,2765,179,191,3,64,137659,80229,-,-,-,-,-,-,-,-,-,-,-,-,34,112,1845,1,1,X,33,111,X,1097
01394,4843,449.78,239,1486,238,12,45,181,1486,127,332,1027,4745,17189,2162,X,3451,250,0,0,256,8195,X,107,100,365,112,28,1523,301,151,4,19,X,X,-,-,-,-,-,-,-,-,-,-,-,-,66,281,7787,7,44,1757,59,237,6030,3689
01395,4958,197.13,296,1892,290,7,33,250,1892,44,243,1605,9490,20230,344,X,3008,1022,0,X,984,2846,240,521,33,8983,526,64,556,195,596,4,66,70837,24434,-,-,-,-,-,-,-,-,-,-,-,-,39,139,2513,5,9,277,34,130,2236,1204
01396,2103,114.25,90,520,90,7,8,75,520,51,50,419,2061,8705,448,0,379,188,0,0,518,5688,X,X,X,226,149,0,476,X,193,1,13,X,X,-,-,-,-,-,-,-,-,-,-,-,-,20,111,5407,4,14,246,16,97,5161,1366
01397,1907,119.84,101,1150,101,2,8,91,1150,25,63,1062,1976,18252,X,0,520,1095,0,0,648,2050,X,19,0,12242,19,54,216,165,55,4,34,X,X,-,-,-,-,-,-,-,-,-,-,-,-,25,145,1879,3,55,478,22,90,1401,860
01398,2294,189.41,129,883,129,3,14,112,883,13,280,590,2340,7828,168,0,771,1126,X,0,1196,2366,X,X,0,690,27,X,822,142,402,3,102,110017,51391,-,-,-,-,-,-,-,-,-,-,-,-,37,157,2275,5,33,416,32,124,1859,1537
