CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_ACCO,IND_MEDI
dummy,,,,,,,,,,,,,,,,,,,,,
04505,23994,-858,74.99,320,8565,222,0,2628,12743,8547,64,,,,,,,,,,
04581,6430,96,65.35,98.4,3166,12,0,521,3554,2333,212,,,,,,,,,,
04606,12225,-145,163.4,74.8,4282,241,0,1124,6387,4707,164,,,,,,,,,,
05201,307672,-8142,906.07,339.6,136952,1634,245611,32809,172755,95949,1187,,,,,,,,,,
05202,49968,-4762,426.95,117,21191,-1180,17269,4231,24953,20765,208,,,,,,,,,,
05203,85555,-6642,692.8,123.5,31109,-354,11205,8532,43422,33401,373,,,,,,,,,,
05204,69237,-4938,913.22,75.8,28044,-198,24063,6479,35272,26998,295,,,,,,,,,,
05206,25154,-3221,241.09,104.3,10492,-655,0,1723,11474,11809,44,,,,,,,,,,
05207,42091,-4522,790.91,53.2,15685,-699,9641,3613,21485,16926,114,,,,,,,,,,
05209,29088,-2950,707.52,41.1,10978,-530,0,2877,14259,11843,89,,,,,,,,,,
05210,74707,-5220,1209.59,61.8,28362,13,16115,7467,38918,27783,256,,,,,,,,,,
05211,31720,-1363,97.72,324.6,12287,264,0,3272,17095,11218,85,,,,,,,,,,
05212,77657,-5126,866.79,89.6,28370,172,16795,7611,39751,29871,226,,,,,,,,,,
05213,30198,-3026,1152.76,26.2,11799,-423,0,2437,14260,13438,142,,,,,,,,,,
05214,23435,-1889,241.13,97.2,8635,-169,0,2244,12041,9140,83,,,,,,,,,,
05215,24610,-2913,1093.56,22.5,9252,-342,0,2135,11845,10533,89,,,,,,,,,,
05303,4780,-559,201.7,23.7,2043,-125,0,354,2281,2145,33,,,,,,,,,,
05327,2063,-318,256.72,8,830,-88,0,117,839,1107,21,,,,,,,,,,
05346,2896,-463,282.13,10.3,1126,-89,0,200,1283,1413,26,,,,,,,,,,
05348,15254,-1824,247.98,61.5,5740,-270,0,1167,7151,6935,46,,,,,,,,,,
05349,6577,-732,234.14,28.1,2615,-91,0,442,3098,3036,48,,,,,,,,,,
05361,8538,-925,214.92,39.7,3351,-222,0,596,3896,4038,18,,,,,,,,,,
05363,5583,-497,17,328.4,2144,-76,0,423,2678,2477,26,,,,,,,,,,
05366,4566,-420,47.95,95.2,1528,-35,0,332,2231,1977,6,,,,,,,,,,
05368,3011,-99,170.11,17.7,839,43,0,350,1686,954,19,,,,,,,,,,
05434,18613,-1666,168.32,110.6,5999,-153,0,1770,9474,7367,49,,,,,,,,,,
05463,13825,-1494,230.78,59.9,4658,-149,0,1286,7085,5437,102,,,,,,,,,,
05464,2704,94,203.69,13.3,1158,349,0,206,1455,1008,66,,,,,,,,,,
06201,247590,-6242,381.3,649.3,102318,2015,184382,29120,140796,72341,1156,,,,,,,,,,
06202,81252,-4701,548.51,148.1,33095,98,43470,8881,46225,25259,737,,,,,,,,,,
06203,122347,-7305,1311.53,93.3,45666,327,57238,13441,65098,43003,635,,,,,,,,,,
06204,100273,-5971,602.97,166.3,39402,82,58673,10305,53031,36091,503,,,,,,,,,,
06205,34432,-2462,222.85,154.5,12857,-104,17737,3863,18944,11370,361,,,,,,,,,,
06206,40189,-1067,139.03,289.1,13654,568,22118,5040,22051,12859,345,,,,,,,,,,
06207,29110,-2459,240.93,120.8,10537,-157,15611,2712,14828,11386,147,,,,,,,,,,
06208,22516,-2168,196.98,114.3,7579,-134,6958,2193,11389,8903,180,,,,,,,,,,
06209,26543,-1214,214.67,123.6,9486,377,10538,2897,13989,9449,340,,,,,,,,,,
