CODE,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KOKUMIN,H_KYOSAN,H_REIWA,H_SHAMIN,H_NHK,H_SANSEI,H_OTHER
dummy,,,,,,,,,,,,,,,,
27205,311667 ,180997 ,177579 ,180964 ,177962 ,38090.084 ,15127.698 ,13556.223 ,68652.773 ,8295.300 ,14824.962 ,5807.688 ,2586.553 ,3468.945 ,6189.097 ,1362.659 
27206,61564 ,30368 ,29547 ,30369 ,29607 ,5899.780 ,3720.014 ,1556.876 ,12213.705 ,1127.460 ,2004.647 ,1001.437 ,215.250 ,670.000 ,978.490 ,219.333 
27207,293887 ,168239 ,163695 ,168213 ,165171 ,30795.474 ,16799.194 ,30558.651 ,57228.325 ,6260.233 ,8392.475 ,4561.244 ,1953.407 ,3033.505 ,4283.081 ,1305.400 
27208,69704 ,32028 ,31286 ,32026 ,30891 ,6796.541 ,4352.008 ,1927.961 ,11995.304 ,1024.715 ,1601.777 ,1010.112 ,238.005 ,624.619 ,1045.654 ,274.293 
27209,120851 ,64069 ,62349 ,64065 ,62437 ,10863.345 ,11626.559 ,2910.801 ,24200.989 ,2507.235 ,4096.059 ,2048.260 ,562.155 ,1260.765 ,1768.452 ,592.366 
27210,333300 ,183799 ,179873 ,183786 ,179717 ,35092.293 ,22963.176 ,14969.961 ,69825.158 ,7934.367 ,11583.950 ,5400.511 ,2168.275 ,3316.560 ,4804.731 ,1658.000 
27211,233208 ,125369 ,122974 ,125363 ,123009 ,24965.966 ,12519.200 ,10442.134 ,47834.749 ,6000.440 ,7803.708 ,3900.394 ,2266.407 ,2496.677 ,3623.159 ,1156.149 
27212,216993 ,112228 ,109572 ,112222 ,109727 ,20936.739 ,15241.637 ,5355.962 ,45227.978 ,3459.538 ,8625.295 ,3417.545 ,952.528 ,2250.101 ,3269.590 ,990.068 
27213,82890 ,37414 ,36545 ,37417 ,36655 ,8197.374 ,5631.340 ,2041.030 ,13930.597 ,1311.895 ,1759.014 ,1105.043 ,336.033 ,826.714 ,1157.949 ,358.000 
27214,92253 ,48626 ,47707 ,48625 ,47613 ,10752.677 ,5547.666 ,3020.409 ,17920.325 ,1478.974 ,3998.094 ,1503.424 ,586.062 ,967.862 ,1441.496 ,396.000 
27215,193936 ,100622 ,98333 ,100593 ,98442 ,18380.643 ,16289.379 ,5630.537 ,37744.354 ,3961.400 ,6953.047 ,3028.807 ,927.144 ,2084.680 ,2553.000 ,889.000 
27216,88218 ,46915 ,45812 ,46912 ,45878 ,10049.398 ,5083.225 ,2600.696 ,18024.294 ,1319.767 ,4078.396 ,1699.155 ,589.178 ,754.916 ,1326.027 ,352.937 
27217,99808 ,49821 ,48840 ,49810 ,48570 ,9215.092 ,7818.809 ,2487.573 ,18924.130 ,1418.756 ,3977.947 ,1496.000 ,447.055 ,1047.912 ,1282.448 ,454.269 
27218,98616 ,48503 ,47108 ,48496 ,47376 ,8456.251 ,8374.213 ,2355.055 ,18673.829 ,1635.798 ,3126.120 ,1526.211 ,474.000 ,1009.811 ,1331.705 ,413.000 
27219,151667 ,76304 ,74365 ,76296 ,74402 ,15708.272 ,10013.913 ,4182.078 ,29740.575 ,2683.065 ,4517.391 ,2402.607 ,704.492 ,1600.671 ,2247.889 ,601.031 
27220,111671 ,64612 ,63244 ,64609 ,63654 ,13838.683 ,4779.000 ,5004.458 ,25512.037 ,2881.658 ,3918.277 ,2310.200 ,1264.000 ,1307.722 ,2300.959 ,537.000 
27221,57003 ,29976 ,29398 ,29975 ,29294 ,5936.664 ,3725.590 ,1441.397 ,12013.103 ,974.602 ,2174.666 ,987.229 ,288.000 ,569.742 ,918.000 ,265.000 
27222,92876 ,47894 ,46739 ,47894 ,46672 ,9587.240 ,6115.857 ,2461.810 ,18559.170 ,1356.064 ,4072.025 ,1501.397 ,423.198 ,934.228 ,1242.000 ,419.000 
27223,101228 ,49280 ,47913 ,49271 ,47879 ,8038.896 ,10848.499 ,1958.680 ,17981.984 ,1643.290 ,2812.000 ,1505.000 ,338.077 ,987.529 ,1313.203 ,451.833 
27224,71873 ,35947 ,35268 ,35944 ,35131 ,7069.200 ,5205.031 ,2180.209 ,13014.047 ,1381.301 ,2823.842 ,1129.306 ,334.782 ,742.501 ,959.000 ,291.769 
27225,47834 ,26180 ,25486 ,26176 ,25545 ,5185.585 ,2894.465 ,1428.926 ,10853.892 ,931.055 ,1648.000 ,824.109 ,288.000 ,491.551 ,816.409 ,183.000 
