CODE,POPULATION,AREA,OFFICE,WORKER,O_PRIVATE,O_1ST,O_2ND,O_3RD,W_PRIVATE,W_1ST,W_2ND,W_3RD,ADD_VALUE,SALES_EST,SALES_AGRI,SALES_MINI,SALES_CONS,SALES_MANU,SALES_SUPP,SALES_INFO,SALES_TRAN,SALES_SALE,SALES_FINA,SALES_REAL,SALES_RESE,SALES_ACCO,SALES_LIVI,SALES_EDUC,SALES_MEDI,SALES_COMP,SALES_OSERV,MANU_OFFICE,MANU_WORKER,MANU_SHIP,MANU_ADD,SHIP_FOOD,SHIP_TEXT,SHIP_WOOD,SHIP_PAPE,SHIP_CHEM,SHIP_PETR,SHIP_LEAT,SHIP_META,SHIP_MACH,SHIP_ELEC,SHIP_VEHI,SHIP_OMANU,SL_OFFICE,SL_WORKER,SL_SALES,WH_OFFICE,WH_WORKER,WH_SALES,RE_OFFICE,RE_WORKER,RE_SALES,RE_AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,248680,46.42,21576,317349,21482,28,1112,20342,301065,605,16064,284396,1797622,12669661,5432,X,774298,121979,X,1037293,175286,4839162,1428652,533980,294719,150365,143863,40796,2571474,16155,480717,85,1594,2742473,1022841,876894,60781,0,1017051,140341,0,0,213312,0,0,0,171768,3959,42571,4449955,1665,20382,3872219,2294,22189,577736,491524
01102,289323,63.57,8746,114199,8704,7,1488,7209,110330,39,11846,98445,450808,2518067,82,X,287390,44229,X,113029,52557,857077,86670,92410,60181,40424,46431,24806,674344,8625,123251,92,1357,2291270,999918,1218321,61669,69529,166470,0,30557,119342,180252,116640,20372,0,115778,1562,17642,785469,517,4272,493918,1045,13370,291551,285109
01103,265379,56.97,8511,107135,8480,11,1702,6767,104735,90,19714,84931,486326,2355900,132,X,305771,216354,X,19652,95791,1244809,32669,71587,60936,26872,52543,14894,146764,13555,48212,205,6372,19143599,8001823,3852384,139369,56810,1235779,0,1052077,337918,2592637,730548,525307,7568716,676084,1801,20833,1013466,810,8024,711460,991,12809,302007,283145
01104,211835,34.47,8139,99187,8119,7,1498,6614,98540,83,17640,80817,438095,2489054,723,0,259449,134978,X,22233,167649,1441302,57863,69810,80855,26078,34388,7241,119753,X,61595,187,6063,11882021,4437049,6407689,43394,517264,939846,200662,255103,62241,782032,396248,111322,0,197275,1764,19946,1298541,958,10578,1085713,806,9368,212828,151698
01105,225298,46.23,5853,63552,5831,7,673,5151,62406,44,7121,55241,225391,1077275,237,0,155560,20283,X,15024,13042,533298,33178,38017,25168,22180,43222,25838,107958,X,38936,38,1523,1775464,708747,1410087,24976,0,109437,0,0,0,0,0,0,0,95589,993,11154,490454,330,2618,304331,663,8536,186123,189148
01106,135777,657.48,3394,35746,3379,14,435,2930,31651,64,2947,28640,96500,335562,248,1293,46417,8006,5517,1630,10012,118100,13243,8094,5319,15240,17350,7747,67078,3869,6399,20,272,474888,243089,79656,0,0,0,0,0,293445,0,0,0,0,24663,555,5522,107893,96,375,14356,459,5147,93536,118712
01107,217040,75.1,6641,72882,6619,8,1000,5611,71390,61,12842,58487,272496,1472171,4128,0,136995,179675,3914,7534,53644,736512,23438,50010,19038,17987,53389,7630,118748,5298,54232,184,5666,14535775,7306023,3681293,0,468321,2123871,0,254516,161613,3825813,578717,281522,841510,42600,1248,15128,671077,432,4872,431133,816,10256,239944,208158
01108,125083,24.38,2795,41055,2779,5,288,2486,40192,25,4759,35408,158626,757071,X,0,47616,53621,X,37811,87892,299813,31186,38480,7426,13620,23838,13397,74626,5032,12704,35,2382,5135963,1563135,4695511,0,0,0,0,0,0,0,0,0,0,0,568,7208,255497,144,1650,143083,424,5558,112414,137805
01109,142625,56.77,3263,37871,3246,1,582,2663,37362,1,5454,31907,129268,519232,X,X,64520,53176,X,749,26851,192746,15229,11827,8884,13103,24099,11393,83770,3291,8463,85,2296,4775522,1837635,1267505,0,195598,695318,0,362187,0,350267,54472,81775,1423467,0,567,6052,172945,108,588,52798,459,5464,120147,153128
01110,112355,59.87,2952,32010,2941,14,478,2449,31787,140,4440,27207,115665,492227,881,X,53571,19619,X,7884,37404,236610,8070,10774,4534,10828,21226,7203,47478,X,12584,21,1328,1692183,901020,616653,0,0,0,0,0,0,0,0,0,0,0,578,7159,216148,122,1102,73724,456,6057,142424,177683
01202,251084,677.87,11414,115608,11329,55,1573,9701,110576,558,16444,93574,412761,1883910,5107,X,190228,X,63899,26906,68480,709318,191594,50945,17823,58265,61901,20433,157361,13349,51017,242,6957,18062457,7578513,10525498,133833,175454,416990,630008,0,130362,1061992,1226791,1155147,2324521,80488,2448,18866,633405,593,4322,348000,1855,14544,285404,361789
01203,111299,243.83,5126,52353,5079,11,756,4312,50492,132,10318,40042,174931,839959,1540,0,51160,181363,58550,1612,49221,277291,28700,17439,6495,15890,36318,7688,65434,4068,37191,209,6942,16541180,6404990,10129399,252586,269341,919204,441863,1818121,231371,1511721,482598,0,0,121142,1199,8386,251499,264,1645,130800,935,6741,120699,147123
01204,329306,747.66,14105,152895,14019,98,2042,11879,145496,955,22707,121834,527350,2688652,15943,71,257472,231826,36094,19028,112529,1252741,236997,64792,29473,39955,85969,17167,194722,16733,77141,326,8919,21606825,8510792,8743167,321570,1408586,3597900,429556,628555,1032883,1511427,1578023,262127,366075,142666,2895,27298,1154161,826,7793,744889,2069,19505,409272,495678
