CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_ACCO,IND_MEDI
dummy,,,,,,,,,,,,,,,,,,,,,
01000,5381733,-124686,83424.31,68.6,2444810,20493,4047281,608296,3190804,1558387,21676,5378786,2431843,170627,409041,1717262,138849,203909,378310,144983,326075
01100,1952356,38811,1121.26,1741.2,921837,35989,1899081,221013,1235516,483534,8820,1959740,849618,3268,115075,654693,3224,47385,147468,51871,114061
01101,237627,17438,46.42,5119.1,132006,11265,235356,23997,160339,50536,1891,386602,245740,474,20322,209105,458,8503,40222,20174,22313
01102,285321,6540,63.57,4488.3,133662,6222,275495,32916,178950,68960,2023,273734,106551,494,15273,80325,491,4202,17313,5977,14576
01103,261912,6039,56.97,4597.4,124425,5486,255507,30716,168302,61448,1121,247799,102034,472,19504,71945,467,7778,19429,4625,14324
01104,209584,5325,34.47,6080.2,104608,4164,205645,23590,136879,47879,595,206604,93689,277,17731,65265,271,7455,17853,3562,11589
01105,218652,6534,46.23,4729.7,110171,2992,217832,23865,142751,51458,1120,194075,68613,185,7815,50471,183,2853,11229,4270,10063
01106,141190,-5151,657.48,214.7,61291,-1485,122354,14271,81598,44854,437,124106,42634,455,4274,33977,454,1022,5821,3267,8005
01107,213578,2349,75.1,2843.9,97750,1329,211996,24842,133411,54865,566,191105,73425,231,13538,53127,228,7902,14219,3368,11722
01108,127767,-725,24.38,5240.6,55585,1486,125771,13990,77888,35713,408,117400,45093,167,5561,36185,166,2980,7678,2656,7736
01109,140999,1355,56.77,2483.7,57333,2283,137016,17367,84637,38561,259,119942,38250,200,6018,29310,196,2875,6806,2058,8240
01110,115726,-893,59.87,1933,45006,2247,112109,15459,70761,29260,400,98373,33589,313,5039,24983,310,1815,6898,1914,5493
01202,265979,-13148,677.86,392.4,123950,-2230,229488,27131,152154,85931,771,273408,122722,3951,19591,92115,894,9567,21258,9291,19429
01203,121924,-10004,243.83,500,55466,-2245,104874,11171,65317,45240,411,124293,53134,630,10566,39867,277,7106,9250,3984,9030
01204,339605,-7490,747.66,454.2,155747,1354,313661,37173,191423,106444,613,341732,153462,3612,25729,118042,3611,11705,28401,8627,27626
01205,88564,-5971,80.88,1095,43616,-1413,69665,9185,49005,30118,297,96865,44396,292,12330,30408,113,7357,6183,2359,6210
01206,174742,-6427,1362.92,128.2,82078,1063,156092,19400,101909,52867,440,175733,75032,1639,13048,55659,954,6167,12956,5006,11159
01207,169327,1270,619.34,273.4,77707,2233,151189,20566,103890,44636,524,175954,85408,3407,14149,62348,3396,6260,15790,5332,11932
01208,121226,-4463,1427.41,84.9,56202,190,80955,13570,70781,36437,283,121080,55376,3810,9194,38291,3278,3804,9739,3287,7472
01209,8843,-2079,763.07,11.6,4539,-1019,0,500,4045,4296,88,9104,4022,602,940,2468,602,673,466,260,532
01210,84499,-5646,481.02,175.7,36155,-568,48561,8983,47848,27503,96,81725,35192,3171,5918,24786,3170,2772,5607,1814,5572
01211,39077,-1921,471,83,18035,-77,27267,4571,23698,10691,188,39790,18360,2227,2992,12455,1537,1599,2467,1246,2272
01212,22221,-2236,297.83,74.6,10402,-642,17257,2290,12391,7513,99,22545,11070,292,2221,8512,217,998,1609,520,1664
01213,172737,-583,561.57,307.6,78298,2009,142348,22401,105217,44469,405,173151,77825,1062,19292,51873,932,10964,11741,3998,9544
01214,36380,-3215,761.47,47.8,16486,-857,29544,4304,21570,10505,298,36493,17042,1319,3364,11370,515,1759,2551,951,1583
01215,23035,-2999,277.69,83,10173,-819,10663,1973,12205,8853,33,22721,9945,1427,1914,6383,1427,906,996,479,1633
01216,14676,-1952,865.04,17,6862,-664,7136,1109,7160,6405,42,14372,5846,619,1577,3606,619,1138,743,360,905
01217,120636,-3086,187.38,643.8,51983,813,109372,13524,74253,32585,391,108051,38523,1333,7260,27440,1331,4188,6327,2090,5506
01218,11105,-1532,129.88,85.5,4980,-605,0,835,5306,4964,54,11560,5152,207,1578,3281,207,1130,575,164,956
01219,23109,-1641,830.78,27.8,11127,-263,15822,2329,12707,7631,310,23095,11204,977,2805,6988,522,1819,1682,615,1218
01220,19914,-1873,1119.22,17.8,8650,-450,11647,2066,10384,7451,57,19922,9633,1744,1702,5875,1744,652,1241,471,1278
01221,29048,-1543,535.2,54.3,13086,-262,18879,3453,16755,8794,118,29205,14428,1629,1551,10798,1629,665,2102,793,2073
01222,9076,-1145,302.52,30,4254,-522,0,694,4199,4181,17,9154,3657,337,828,2472,337,454,626,145,653
01223,26917,-2284,411.41,65.4,11383,-514,15511,3033,15533,8285,253,27066,14078,2908,3152,7821,354,2357,1949,650,1107
01224,95648,2044,594.5,160.9,40638,2097,80072,13573,61908,19979,435,99138,50687,1349,9237,37667,1339,6859,6343,3156,3767
01225,41192,-1978,115.9,355.4,18651,-296,28972,4456,23001,13353,80,40275,17463,870,2501,13397,870,792,3090,1057,2833
01226,17694,-1362,78.68,224.9,7858,-557,8905,1758,9355,6390,23,18484,8679,493,1839,6164,493,870,1471,458,1650
01227,3585,-802,55.95,64.1,1665,-335,0,217,1696,1672,4,3225,1025,13,181,827,13,44,107,45,274
01228,21909,-1800,529.42,41.4,9669,-431,10508,1995,11281,8616,49,22181,10136,1760,1119,7135,1760,435,1412,541,1872
01229,22936,-1323,600.71,38.2,9929,-145,14269,2684,13092,7096,140,23576,12431,2434,1660,8057,2434,647,1537,1176,1653
01230,49625,-1901,212.21,233.8,21681,-36,37774,5312,26948,16602,92,42950,14862,257,2473,11760,167,1013,2458,1795,2324
01231,69702,318,294.65,236.6,28846,1212,63166,9132,42897,17465,190,65918,27358,1131,6143,18849,1128,4497,3698,1565,3167
01233,34995,-1283,444.21,78.8,15054,-233,21943,3966,18910,12107,97,33351,14565,1650,2302,10458,1406,1172,2233,982,3122
01234,59064,-1289,119.05,496.1,23551,560,49510,7213,34586,17103,139,58111,25028,574,4521,18951,574,2737,4635,999,3287
01235,57436,-2013,722.42,79.5,22632,29,43040,7415,32732,17229,203,60459,29025,1439,7404,18876,1209,4305,4697,859,2772
01236,46390,-1642,397.44,116.7,18508,96,29668,6353,27723,12297,90,41883,18190,1733,4694,11137,1598,2813,3084,697,2108
01300,20607,-1674,500.89,41.1,8397,-89,0,1904,12325,6310,36,0,0,0,0,0,0,0,0,0,0
01303,17278,-1488,422.86,40.9,7327,-73,5957,1547,10453,5210,35,17137,7100,1290,1348,4290,1290,788,829,403,718
01304,3329,-186,78.04,42.7,1070,-16,0,357,1872,1100,1,3506,1832,699,157,845,699,28,83,76,212
01330,92429,-8219,2862.16,32.3,39390,-1497,0,9764,50154,32482,526,0,0,0,0,0,0,0,0,0,0
01331,7337,-1411,293.25,25,3571,-388,0,542,3421,3372,31,7126,3056,348,919,1787,58,671,383,120,379
01332,4422,-692,187.28,23.6,2039,-155,0,331,2238,1853,30,4282,1773,257,614,898,33,410,210,65,150
01333,4653,-421,196.75,23.6,2003,-6,0,508,2553,1592,4,4718,2471,647,778,1028,511,363,127,80,134
01334,4547,-794,221.87,20.5,2140,-177,0,307,2236,2004,20,4515,2144,202,534,1407,157,127,306,101,333
01337,28120,-343,216.75,129.7,11141,250,13132,3384,15672,9058,32,24164,9060,1301,1843,5573,1295,959,929,538,1525
01343,4226,-541,110.64,38.2,1660,-15,0,423,2285,1518,65,4146,2045,757,495,790,19,398,131,94,146
01345,15946,-1913,368.79,43.2,6628,-475,0,1795,8625,5526,189,16139,8160,1848,2308,3967,747,1746,889,342,800
01346,17252,-1644,956.07,18,7523,-369,7500,1967,9895,5369,87,17306,8686,1752,1625,5264,789,826,1011,426,1294
01347,5926,-460,310.76,19.1,2685,-162,0,507,3229,2190,68,6048,2672,536,615,1517,138,405,301,181,201
01360,37870,-4188,2630.32,14.4,16831,-1096,0,3717,19551,14597,73,0,0,0,0,0,0,0,0,0,0
01361,8248,-756,109.53,75.3,3752,-216,0,818,4589,2839,7,8852,4308,343,507,3423,237,151,651,241,787
01362,4876,-552,547.71,8.9,2173,-134,0,506,2427,1943,10,4424,1747,357,528,855,269,181,174,60,171
01363,4049,-360,460.58,8.8,1765,-103,0,440,2050,1556,16,4135,2213,788,338,1060,788,126,177,83,229
01364,3906,-502,162.59,24,1729,-134,0,385,1943,1578,2,3489,1436,254,425,752,140,228,134,89,175
01367,2690,-343,142.97,18.8,1270,-94,0,253,1442,995,6,2716,1372,152,183,1031,27,43,131,118,117
01370,5628,-558,568.25,9.9,2280,-108,0,566,2965,2097,2,5487,2811,850,351,1586,848,83,310,128,344
01371,8473,-1117,638.69,13.3,3862,-307,0,749,4135,3589,30,8480,3917,1050,586,2277,821,113,385,192,604
01390,93598,-7414,4062.05,23,42550,-1570,0,10435,51640,31249,787,0,0,0,0,0,0,0,0,0,0
01391,1499,-282,437.18,3.4,661,-81,0,118,773,608,1,1405,622,170,63,389,35,22,43,31,127
01392,3137,-306,95.24,32.9,1420,-116,0,319,1658,1160,36,3192,1444,138,331,967,17,187,182,59,293
01393,3082,-168,345.65,8.9,1336,-17,0,348,1583,1151,4,3066,1391,195,176,1018,193,63,85,90,441
01394,4843,-449,449.78,10.8,2086,-43,0,506,2536,1801,16,4672,2278,693,302,1257,687,29,243,116,298
01395,4958,135,197.13,25.2,2274,220,0,652,2893,1322,143,4880,2492,460,288,1719,460,48,197,618,131
01396,2103,-86,114.25,18.4,855,-12,0,239,1165,698,12,2193,1213,533,61,598,533,20,97,56,104
01397,1907,-127,119.84,15.9,915,32,0,243,1202,462,53,2290,1577,391,91,1083,391,41,96,491,78
01398,2294,-196,189.41,12.1,1123,-84,0,207,1204,866,12,2260,1194,277,210,696,277,97,126,72,163
01399,3187,-624,231.49,13.8,1281,-459,0,388,1645,1144,11,3278,1690,353,398,932,351,215,144,69,256
01400,15018,-550,261.34,57.5,6974,-128,10559,2125,9097,3708,161,15681,8336,706,944,6450,705,320,1247,861,843
01401,6224,-204,304.91,20.4,2854,156,0,721,3670,1824,4,5784,3177,991,793,1383,991,306,274,85,169
01402,13042,-1409,70.6,184.7,6228,-327,10272,1367,7241,4408,26,12254,5490,139,1602,3663,64,659,829,466,710
01403,1771,-112,82.28,21.5,886,31,0,195,951,625,2,3079,2222,64,743,1407,4,33,71,58,121
01404,1004,-118,147.8,6.8,434,-39,0,78,468,458,0,924,410,89,19,302,1,7,33,39,92
01405,2115,-401,238.14,8.9,994,-181,0,191,996,926,0,1990,963,297,72,565,80,17,83,160,46
01406,3188,-423,188.36,16.9,1446,-142,0,253,1641,1294,27,3107,1553,220,470,861,30,296,114,92,217
01407,3498,-302,167.96,20.8,1480,-13,0,351,1847,1300,143,3632,2103,1126,143,819,1126,87,91,53,308
