CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_ACCO,IND_MEDI,IND_EDUC,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11225,148576,667,44.74,3320.9,53340,-,123686,21403,104110,23063,1090,127657,54849,854,18771,34341,854,0,2,4279,14490,106,534,4075,10077,621,728,2517,4093,2733,478,7171,1208,883
11226,58355,3837,6.22,9381.8,22638,-,58355,7918,39065,11287,660,44061,17103,114,5999,10392,114,0,0,2293,3706,206,83,1117,2795,333,296,666,1304,605,256,2081,650,598
11227,124393,4681,18.38,6767.8,53365,-,121758,18676,87665,16863,1982,101399,44840,530,11800,31072,530,0,2,4337,7461,163,927,3356,6149,759,884,2028,3092,1586,308,8748,3072,1438
11228,67448,2372,9.06,7444.6,26993,-,66948,9125,47985,10326,633,53012,20659,250,5303,14392,249,1,1,2430,2872,318,322,1272,4060,387,443,963,1379,1262,148,3261,577,714
11229,76688,6518,11.04,6946.4,34160,-,75970,11035,55489,9148,1100,64837,31111,382,7105,22786,382,0,2,2346,4757,86,848,1602,3669,243,493,1067,2231,1825,192,6608,3922,838
11230,153305,3794,22.8,6723.9,60048,-,142371,21274,106323,24576,1773,127534,52016,985,15722,33526,985,0,1,6235,9486,69,731,5441,8659,613,833,2346,3835,2580,373,6615,1431,1783
11231,73677,-290,25.26,2916.7,26231,-,59145,10197,50455,13020,331,60460,25448,692,6639,17466,692,0,1,1800,4838,73,147,2557,5284,438,284,1027,1960,1056,195,3677,768,651
11232,72522,-132,25.35,2860.8,26133,-,57707,9797,51009,11715,883,67154,31024,703,10452,19117,703,0,0,2128,8324,156,227,1850,5685,529,322,1431,2244,1423,267,4047,936,752
11233,70126,602,19.84,3534.6,24833,-,55248,9813,48850,11461,289,54901,22135,602,5572,14795,598,4,0,1753,3819,148,164,598,4615,407,262,1201,2556,1020,212,3102,510,1166
11234,75507,553,18.03,4187.9,27495,-,70766,11000,52695,11648,1430,75808,41236,625,20629,19363,625,0,1,5071,15557,39,110,4664,5654,391,413,1040,1840,832,99,3644,637,619
