CODE,POPULATION,HOUSE,POP_INCREASE,HOU_INCREASE,AREA,POP_U15,POP_O15,POP_O65
dummy,,,,,,,,
44363,6705,2549,-847,-197,140.29,509,3007,3177
44364,9423,4161,-1017,-277,127.77,964,4915,3425
44321,3752,1668,-592,-150,72.91,238,1371,2143
44323,9575,4290,-1098,-196,112.28,775,4360,4399
44324,4783,2210,-285,85,41.84,482,2478,1746
44325,8122,3745,-440,62,90.75,830,4174,3021
44322,1725,832,-266,-47,6.99,133,650,942
44341,27723,11072,-335,217,73.32,3803,15187,8510
44461,8541,3329,-1104,-144,271.37,897,3782,3857
44462,14386,5808,-1437,-180,286.6,1606,7159,5527
45000,1069576,470055,-34493,7197,7735.22,139773,568255,344543
45201,317747,148869,747,7402,286.96,42108,179248,85786
45301,29134,13316,-142,577,47.81,4116,17506,6613
45302,10855,4509,149,270,108.3,1522,5512,3520
45303,32797,13140,-404,441,56.84,4782,17169,10494
45381,10806,4403,-149,139,144.58,1271,5185,4205
45202,130355,58186,-1909,1566,306.21,18705,71922,38262
45342,5817,2416,-493,-117,97.5,666,2760,2386
45343,9789,4127,-603,-104,94.21,1248,4679,3840
45344,6531,2814,-540,-49,62.2,742,3211,2575
45345,8148,3549,-844,-169,93.19,818,3727,3602
45203,108792,47752,-5568,-4,283.81,13637,57400,36227
45426,3338,1304,-523,-101,200.7,260,1488,1589
45427,3207,1216,-324,-45,279.91,275,1364,1568
45428,3057,1294,-350,-35,103.49,311,1418,1328
45204,37955,16726,-2031,-330,294.46,4595,19100,14163
45321,3971,1573,-314,-55,178.49,385,1800,1785
45322,8922,3772,-897,-222,63.16,994,4272,3652
45205,35264,15445,-1750,-170,230.76,4559,18032,12506
45362,6993,3066,-575,-88,88.86,746,3264,2983
45363,1413,651,-226,-78,243.47,104,570,739
45206,56076,23615,-1688,389,117.43,7766,30235,17464
45422,3553,1496,-444,-93,218.73,286,1466,1801
45207,16822,7225,-1957,-727,295.17,1934,7565,7193
45208,28610,11783,-2073,-221,438.79,3287,14167,10826
45209,17638,8050,-1900,-518,282.93,1924,8188,7471
45341,25591,10203,187,236,110.02,4410,13875,7248
45361,8639,3763,-661,-151,85.39,932,4050,3609
45382,18398,7494,-1208,-112,130.63,2106,9411,6854
45383,6934,2857,-411,-58,95.19,974,3406,2554
45401,19922,8685,-1103,7,43.8,2614,10717,6500
45402,16564,6430,-809,54,61.53,2212,9093,5255
45403,1000,502,-89,-7,271.51,136,427,437
45404,4895,1886,-336,-72,145.96,761,2312,1822
45405,15194,6036,-915,100,90.12,1946,7807,5428
45406,9906,3960,-485,20,102.11,1246,4816,3838
45421,17379,6874,-804,50,120.4,2367,9045,5946
45429,1486,628,-253,-60,187.56,150,657,678
45430,2503,1057,-305,-71,537.29,298,1063,1142
45423,1555,702,-238,-76,190.23,155,610,790
45424,1809,772,-224,-68,138.32,142,734,933
45425,1462,663,-192,-51,120.17,125,571,766
45441,11642,4519,-1113,-159,237.54,1326,5286,5017
45442,3635,1493,-311,0,277.67,378,1600,1657
45443,3472,1234,-415,-43,171.73,454,1527,1491
46000,1588256,728179,-59921,3489,9187.06,205381,832194,505891
46201,546358,260412,-5517,9224,289.91,69129,297030,143012
46301,9868,4203,-710,-24,54.79,1034,4853,3826
46302,2811,1367,-525,-138,32.2,222,1224,1348
46321,10706,4581,-635,-111,61.15,1145,5316,4152
46364,16563,6175,1200,504,51.05,3393,9339,3724
46365,6822,2906,-499,-80,57.75,757,3276,2742
46203,80909,37234,-955,1590,234.37,12520,44711,22327
46462,2798,1373,-390,-89,88.95,241,1204,1351
46481,11331,4962,-555,-101,65.86,1572,5709,3954
46485,6058,2570,-612,-172,59.15,801,2960,2296
46204,20033,9455,-2013,-607,74.78,2031,9758,8192
