CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_RESE,IND_ACCO,IND_LIVI,IND_EDUC,IND_MEDI,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23563,1336,-181,155.91,8.6,555,-,0,130,594,612,4,1422,721,120,178,394,116,4,8,135,35,0,0,25,45,0,0,6,57,31,54,63,17,34,62,29
23999X,0,0,1.14,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24201,285746,-2792,710.81,402,113092,-,134315,37466,175473,69937,5703,293965,139835,3873,34696,93437,3730,143,6,10030,24660,1055,2611,5424,20526,4340,1753,3870,6568,5300,8083,17030,1101,8074,8757,6774
24202,307766,3921,205.58,1497.1,120020,-,211269,44026,196593,65609,5869,318553,163056,2212,52194,96127,2126,86,29,14601,37564,965,1510,13360,25037,4540,2075,4731,7346,5465,6121,13388,681,8687,3186,11558
24203,130271,-4759,208.53,624.7,49361,-,60664,16967,78666,33681,767,130010,59509,1849,15764,39536,1594,255,7,4492,11265,226,463,2164,11422,1307,624,1586,4050,2146,3047,6787,363,3204,2373,2134
24204,168017,-956,623.77,269.4,63611,-,71091,22749,103016,41525,2895,161640,76327,3216,22371,46387,3022,194,28,5708,16635,356,831,3767,12137,1852,891,1853,3930,3056,2877,8994,667,3581,1951,3997
24205,140290,1327,136.61,1026.9,51525,-,72948,20392,88084,29981,2475,130289,61711,1418,18786,38586,1126,292,35,3846,14905,309,274,2912,11134,1265,597,1171,4450,3282,2655,6123,358,2877,1488,2612
24207,199293,6179,194.67,1023.7,75868,-,113951,30510,127780,38500,5090,188868,87191,2889,29202,47885,2714,175,15,5671,23516,223,349,6302,12218,1264,925,1165,4212,3594,3683,7929,511,4012,1721,6992
24208,80284,-1872,129.76,618.7,29481,-,43368,10560,51424,18066,461,69085,28331,714,8423,17678,712,2,1,1453,6969,161,236,1305,4689,512,292,427,1495,1380,1524,3353,187,1397,881,1355
24209,20033,-2070,193.16,103.7,9219,-,11632,2168,10645,7201,118,20596,9273,609,1706,6670,193,416,52,991,663,128,87,402,1752,276,72,251,558,264,450,1350,77,512,619,160
