CODE,POPULATION,HOUSE,MOVEIN1,BIRTH1,ADD1,MOVEOUT1,DEATH1,DELETE1,INCR1,SOC_INCR1,NAT_INCR1,INCR5,SOC_INCR5,NAT_INCR5,BIRTH5,DEATH5,INCR10,SOC_INCR10,NAT_INCR10,BIRTH10,DEATH10,FOREIGNER,POP_U15,POP_O15,POP_O65,AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,
26203,32851,15656,905,201,1120,968,499,1481,-361,-63,-298,-2098,-427,-1699,1004,2703,-4049,-1116,-3345,2102,5447,517,3552,16931,12368,347.1
26204,184995,84694,6203,1118,7398,6330,1821,8281,-883,-127,-703,-4628,-1623,-2817,5917,8734,-6096,-4918,-3588,13163,16751,3011,22531,108011,54453,67.54
26205,17397,8425,496,87,590,601,324,926,-336,-105,-237,-1719,-459,-1271,423,1694,-3242,-1084,-2343,976,3319,165,1639,8427,7331,172.74
26206,87847,39399,2303,518,2880,2552,907,3495,-615,-249,-389,-3084,-1562,-1518,2840,4358,-4945,-3628,-2169,6210,8379,1068,10893,50421,26533,224.8
26207,75734,35056,2298,433,2760,2234,793,3065,-305,64,-360,-2483,-870,-1581,2367,3948,-4257,-2323,-2549,5080,7629,775,8667,41572,25495,32.71
26208,57316,25436,2024,464,2524,2192,533,2738,-214,-168,-69,2474,2368,11,2489,2478,2782,2094,48,4642,4594,525,7927,34031,15358,7.72
26209,81061,36505,3220,609,3842,3147,690,3856,-14,73,-81,436,620,-163,3297,3460,1603,938,162,6735,6573,754,11205,48051,21805,19.17
26210,70398,33294,2316,331,2676,2465,690,3247,-571,-149,-359,-2191,-779,-1243,2155,3398,-3201,-2279,-1453,5106,6559,1785,8171,40186,22041,24.35
26211,70513,30042,3083,481,3606,2736,553,3362,244,347,-72,3097,3252,-53,2693,2746,7100,6340,298,5507,5209,1005,10709,42357,17447,42.92
26212,53674,22943,988,285,1277,1193,762,1984,-707,-205,-477,-4017,-1395,-2485,1629,4114,-7604,-3089,-4727,3506,8233,492,5819,28329,19526,501.44
26213,31074,14220,1130,165,1314,1214,522,1751,-437,-84,-357,-1815,-292,-1545,928,2473,-3156,-605,-2883,2038,4921,380,3282,16679,11113,616.4
26214,79038,31756,3176,634,3847,2428,587,3032,815,748,47,4801,4437,386,3280,2894,8791,7372,1055,6657,5602,649,13130,46504,19404,85.13
26303,16364,7112,850,191,1055,624,134,780,275,226,57,801,627,177,848,671,1081,839,126,1513,1387,142,2369,9532,4463,5.97
26322,15787,7175,701,81,788,776,162,965,-177,-75,-81,-568,-224,-256,527,783,-551,-419,-346,1155,1501,739,1866,9035,4886,13.86
26343,7300,3468,223,40,267,266,97,369,-102,-43,-57,-493,-105,-304,190,494,-853,-320,-519,445,964,228,672,4088,2540,18.04
26344,9131,3796,301,32,349,327,103,468,-119,-26,-71,-484,-55,-287,225,512,-740,-171,-457,543,1000,363,999,5341,2791,58.16
26364,1248,626,23,1,25,34,28,62,-37,-11,-27,-220,-82,-139,9,148,-492,-250,-249,29,278,5,46,550,647,23.52
26365,3768,1693,64,16,81,104,72,178,-97,-40,-56,-466,-206,-257,73,330,-1013,-494,-522,160,682,23,270,1725,1750,64.93
26366,37131,15158,1168,217,1410,1332,251,1598,-188,-164,-34,-466,-370,-100,1212,1312,573,155,199,2675,2476,340,5109,22800,9222,25.68
26367,2604,1209,68,7,78,107,39,146,-68,-39,-32,-323,-155,-170,45,215,-608,-238,-393,81,474,29,153,1167,1255,64.11
26407,13616,6244,329,48,380,461,221,692,-312,-132,-173,-1629,-589,-983,280,1263,-2932,-1167,-1831,629,2460,183,1104,6611,5901,303.09
26463,2031,910,41,13,54,60,37,97,-43,-19,-24,-231,-58,-172,68,240,-545,-179,-376,116,492,10,181,867,973,61.95
