citycode,incity,inpref,inregion,outregion,sum_outcity,visit_diff
01631,33103,7313,0,792,8105,5
01632,5052,1674,0,144,1818,7
01633,3849,956,0,211,1167,7
01634,4292,1030,0,155,1185,7
01635,5093,1218,0,281,1499,7
01636,7717,2219,0,156,2375,6
01637,13987,4895,0,205,5100,6
01638,3318,797,0,105,902,7
01639,2587,864,0,45,909,7
01641,4558,917,0,120,1037,7
01642,6099,806,0,69,875,7
01643,19862,4605,0,339,4944,6
01644,5240,1296,0,80,1376,7
01645,2731,495,0,85,580,8
01646,6023,1092,0,80,1172,7
01647,5529,1152,0,150,1302,7
01648,2126,222,0,51,273,9
01649,4133,894,0,88,982,7
01661,14080,6528,0,222,6750,5
01662,7866,1477,0,203,1680,7
01663,5185,947,0,122,1069,7
01664,6393,1468,0,170,1638,7
01665,5713,1352,0,644,1996,7
01667,1974,674,0,98,772,7
01668,5937,1248,0,141,1389,7
01691,12308,2812,0,465,3277,6
01692,19610,2768,0,353,3121,6
01693,3903,544,0,134,678,8
01694,4611,395,0,227,622,8
02201,255805,23244,6237,7510,36991,4
02202,150023,23099,3480,3663,30242,4
02203,203089,20172,8221,5346,33739,4
02204,26420,4804,308,357,5469,6
02205,43440,9722,699,815,11236,5
02206,51446,8235,1235,1680,11150,5
02207,31482,8028,801,1508,10337,5
02208,50386,3673,634,1429,5736,5
02209,26232,5700,213,340,6253,5
02210,23144,4672,513,368,5553,5
02301,8675,1417,92,148,1657,7
02303,2158,430,32,124,586,8
02304,2061,227,19,49,295,8
02307,3897,842,92,217,1151,7
02321,7658,1535,158,424,2117,6
02323,6830,561,278,394,1233,7
02343,744,379,16,38,433,8
02361,10523,3301,136,122,3559,6
02362,6531,1225,333,250,1808,7
02367,5042,1601,125,99,1825,7
02381,10341,2172,75,84,2331,6
02384,9582,1956,87,114,2157,6
02387,8309,1415,53,136,1604,7
02401,10283,1752,154,208,2114,6
02402,11344,2853,248,281,3382,6
02405,6866,2352,94,140,2586,6
02406,2829,876,76,112,1064,7
02408,12949,2246,242,193,2681,6
02411,8014,6910,303,641,7854,5
02412,16398,5129,333,299,5761,5
02423,4263,448,76,260,784,7
02424,4407,1308,165,215,1688,7
02425,1492,241,38,89,368,8
02426,1537,102,23,86,211,9
02441,7547,1918,431,160,2509,6
02442,12948,2029,172,190,2391,6
02443,4126,493,64,40,597,8
02445,12914,2484,409,168,3061,6
02446,8416,1454,413,142,2009,7
02450,1840,229,30,48,307,8
03201,248211,42537,12924,7922,63383,3
03202,47782,4593,1291,1348,7232,5
03203,31708,3781,773,834,5388,6
03205,77869,11079,2807,2263,16149,4
03206,75857,16443,3611,2989,23043,4
03207,29372,3890,1113,505,5508,6
03208,23893,2405,361,449,3215,6
03209,103174,8089,5100,2372,15561,4
03210,15236,2196,800,464,3460,6
03211,30495,4478,903,906,6287,5
03213,22216,3731,1575,447,5753,5
03214,20263,3955,2383,1286,7624,5
03215,99133,10680,2793,1929,15402,4
03216,38101,8691,1640,653,10984,5
03301,12043,3078,1034,698,4810,6
03302,4702,666,120,61,847,7
03303,10852,1799,375,153,2327,6
03321,22548,4050,793,460,5303,6
03322,18721,8729,884,410,10023,5
03366,4884,680,454,139,1273,7
03381,11816,5742,555,334,6631,5
03402,5760,1868,503,509,2880,6
03441,4261,1286,141,102,1529,7
03461,8802,1523,206,285,2014,7
03482,12367,1384,230,292,1906,7
03483,7910,1400,356,194,1950,7
03484,2633,672,82,97,851,7
03485,2187,402,65,50,517,8
03501,6816,1188,764,146,2098,6
03503,2649,813,81,73,967,7
03506,4326,1035,180,59,1274,7
03507,12526,1770,742,261,2773,6
03524,10390,1331,475,202,2008,7
04101,237553,114791,22736,22319,159846,2
04102,133882,56115,9509,8084,73708,3
04103,90541,32507,4436,3921,40864,4
04104,157583,28116,7027,5244,40387,4
04105,154332,34204,5285,3880,43369,3
04202,122919,16727,2030,2335,21092,4
04203,36267,7416,676,885,8977,5
04205,55190,3466,2734,1306,7506,5
04206,26484,5378,1705,1266,8349,5
04207,52815,20007,3159,2969,26135,4
04208,23212,5508,753,446,6707,5
04209,40852,12072,1890,1271,15233,4
04211,29924,8990,1101,956,11047,5
04212,66612,6447,1194,915,8556,5
04213,57621,5894,2251,1132,9277,5
04214,28465,7540,517,583,8640,5
04215,104673,19359,3984,2921,26264,4
04216,34661,9794,1387,677,11858,5
04301,8439,3180,776,724,4680,6
04302,1193,264,160,72,496,8
04321,16403,5480,463,410,6353,5
04322,7893,3079,896,684,4659,6
04323,28293,5795,606,590,6991,5
04324,6118,1964,901,363,3228,6
04341,9532,1500,282,210,1992,7
04361,23209,4847,642,428,5917,5
04362,8620,2081,672,199,2952,6
04401,9419,3903,762,1317,5982,5
04404,11438,1827,120,289,2236,6
04406,24131,9790,1154,941,11885,5
04421,18753,10017,1163,773,11953,5
04422,5605,2345,141,131,2617,6
04424,3881,4573,359,244,5176,6
04444,5172,1489,211,76,1776,7
04445,16719,3225,185,246,3656,6
04501,11964,3469,118,130,3717,6
04505,16224,4345,125,153,4623,6
04581,4776,2830,169,201,3200,6
04606,9898,1891,523,455,2869,6
05201,279787,29769,7938,7077,44784,3
05202,46037,6094,1131,976,8201,5
05203,78035,11157,2149,1533,14839,5
05204,63092,5543,2196,1341,9080,5
05206,21380,2576,588,607,3771,6
05207,38448,4895,897,806,6598,5
05209,27693,2280,1479,846,4605,6
05210,67888,8205,1420,1200,10825,5
05211,23702,4426,275,298,4999,6
05212,68794,13601,1524,1304,16429,4
05213,27388,3195,515,444,4154,6
05214,19783,3442,800,533,4775,6
05215,21993,3256,1174,1582,6012,5
05303,3759,994,598,329,1921,7
05327,1915,411,70,26,507,8
05346,2505,476,31,45,552,8
05348,13220,1840,185,220,2245,6
05349,5302,869,215,117,1201,7
05361,7144,1997,99,96,2192,6
05363,3386,1002,56,52,1110,7
05366,3267,1301,33,35,1369,7
05368,2567,1471,101,147,1719,7
05434,13436,2321,181,204,2706,6
05463,11264,1610,190,160,1960,7
05464,1701,508,85,140,733,8
06201,214769,33993,8672,7106,49771,3
06202,74227,9337,2794,2658,14789,5
06203,112838,10114,3452,3366,16932,4
06204,91012,9954,2470,2026,14450,5
06205,29450,8067,966,605,9638,5
06206,30460,8161,766,649,9576,5
06207,23514,5289,1307,966,7562,5
06208,17549,4190,568,347,5105,6
06209,22527,4702,311,363,5376,6
06210,45877,14665,2220,1641,18526,4
06211,35428,12187,1269,1102,14558,5
06212,13480,2314,368,508,3190,6
06213,24006,5300,616,622,6538,5
06301,9724,1465,80,80,1625,7
06302,7514,2153,148,71,2372,6
06321,13459,3086,199,210,3495,6
06322,3893,1115,321,294,1730,7
06323,5321,1121,87,100,1308,7
06324,5858,1351,81,80,1512,7
06341,5300,954,157,108,1219,7
06361,4324,497,208,64,769,7
06362,6828,567,242,140,949,7
06363,4193,944,87,48,1079,7
06364,5802,1046,88,69,1203,7
06365,2558,288,83,92,463,8
06366,2867,596,29,30,655,8
06367,3287,930,117,82,1129,7
06381,16987,3765,391,349,4505,6
06382,11328,2972,254,153,3379,6
06401,6398,560,597,198,1355,7
06402,10206,1653,135,136,1924,7
06403,5158,1421,225,118,1764,7
06426,5479,4020,248,148,4416,6
06428,16305,3143,251,229,3623,6
06461,10789,1402,443,298,2143,6
07201,252138,30127,9151,9407,48685,3
07202,104453,18682,2753,4829,26264,4
07203,283718,38173,6732,11911,56816,3
07204,309853,8552,4139,15672,28363,4
07205,48121,10853,968,3316,15137,4
07207,60015,12149,904,1715,14768,5
07208,38477,5006,705,946,6657,5
07209,29292,3735,2211,1017,6963,5
07210,43617,7821,1271,1625,10717,5
07211,29712,3506,278,642,4426,6
07212,46505,5231,3310,1936,10477,5
07213,48037,6302,1174,751,8227,5
07214,22260,7528,811,1137,9476,5
07301,8524,2313,440,384,3137,6
07303,6740,1574,677,378,2629,6
07308,11078,2043,116,190,2349,6
07322,5809,2487,281,322,3090,6
07342,8863,3207,258,417,3882,6
07344,3450,887,133,714,1734,7
07362,4361,1095,158,551,1804,7
07364,390,152,60,421,633,8
07367,3452,781,100,239,1120,7
07368,13116,1447,255,1346,3048,6
07402,1637,1292,365,1838,3495,6
07405,5542,568,251,196,1015,7
07407,2317,1863,226,611,2700,6
07408,10967,3151,699,2068,5918,5
07421,11860,2830,236,276,3342,6
07422,2036,1085,58,81,1224,7
07423,2516,672,98,112,882,7
07444,1022,688,81,66,835,7
07445,1822,603,72,112,787,7
07446,1077,144,27,52,223,9
07447,14380,2054,175,244,2473,6
07461,14832,5266,488,2350,8104,5
07464,4612,1756,148,325,2229,6
07465,3385,1298,41,57,1396,7
07466,11965,3940,201,517,4658,6
07481,10181,2439,82,509,3030,6
07482,4091,816,14,379,1209,7
07483,6943,1652,25,282,1959,7
07484,2308,378,4,90,472,8
07501,11400,2706,108,516,3330,6
07502,4414,1297,45,179,1521,7
07503,4436,448,60,128,636,8
07504,4691,856,54,126,1036,7
07505,3516,429,23,99,551,8
07521,12822,3140,146,374,3660,6
07522,7941,1620,124,301,2045,6
07541,2502,2100,427,782,3309,6
07542,652,3129,461,636,4226,6
07543,0,3133,282,688,4103,6
07544,1214,604,29,104,737,8
07545,0,4119,312,598,5029,6
07546,0,1382,127,179,1688,7
07547,0,1665,373,330,2368,6
07548,15,423,15,16,454,8
07561,5814,1740,821,267,2828,6
07564,24,1104,55,76,1235,7
08201,215663,52339,11601,5134,69074,3
08202,154800,22617,4920,3635,31172,4
08203,105760,31315,7292,2427,41034,3
08204,108848,7206,13375,1513,22094,4
08205,55840,10416,2738,766,13920,5
08207,37342,4559,4244,413,9216,5
08208,56900,10208,3064,801,14073,5
08210,30498,7315,1807,361,9483,5
08211,45144,9704,3162,604,13470,5
08212,38247,5598,1101,613,7312,5
08214,22057,3409,529,696,4634,6
08215,35019,3612,1177,2166,6955,5
08216,57123,11208,3908,991,16107,4
08217,75473,8715,8009,980,17704,4
08219,58896,11597,3936,1127,16660,4
08220,176750,46633,18836,5502,70971,3
08221,122016,29674,6895,3354,39923,4
08222,53209,10479,4740,954,16173,4
08223,20882,3636,1536,284,5456,6
08224,44655,9700,5685,1230,16615,4
08225,32409,5844,1400,263,7507,5
08226,37778,10259,1279,515,12053,5
08227,81236,11861,4987,651,17499,4
08228,41108,5515,2986,452,8953,5
08229,30741,5927,4022,358,10307,5
08230,28879,7661,1878,410,9949,5
08231,30752,4587,1502,260,6349,5
08232,76683,9070,10948,1807,21825,4
08233,25346,4682,1391,207,6280,5
08234,37209,5121,1561,292,6974,5
08235,32928,7672,3492,589,11753,5
08236,37717,9279,1684,596,11559,5
08302,22353,8123,878,189,9190,5
08309,11690,3870,2229,719,6818,5
08310,13624,2487,730,146,3363,6
08341,27406,10187,1126,791,12104,5
08364,13315,1544,969,498,3011,6
08442,11077,2555,651,89,3295,6
08443,33473,11000,3001,655,14656,5
08447,5984,1059,556,62,1677,7
08521,15312,3401,692,115,4208,6
08542,5634,1226,2481,192,3899,6
08546,17709,3749,2264,173,6186,5
08564,10640,1022,593,120,1735,7
09201,430333,65557,25484,11460,102501,3
09202,119745,6283,13877,1388,21548,4
09203,127425,15868,10145,1766,27779,4
09204,97674,11020,12799,2088,25907,4
09205,78219,11584,3408,1031,16023,4
09206,66611,7654,10740,3297,21691,4
09208,128586,17561,16950,2985,37496,4
09209,60724,9879,4416,717,15012,5
09210,59084,13710,2281,1139,17130,4
09211,24399,5344,1836,1116,8296,5
09213,91121,14311,7779,4602,26692,4
09214,32920,7491,1583,779,9853,5
09215,19689,3820,950,232,5002,6
09216,41959,10655,3324,908,14887,5
09301,21049,8588,1878,409,10875,5
09342,16049,2906,1061,214,4181,6
09343,9287,1373,1958,384,3715,6
09344,7853,2142,471,163,2776,6
09345,10345,12381,1324,276,13981,5
09361,28198,7674,2064,500,10238,5
09364,17304,1972,3238,302,5512,6
09384,7965,1428,424,144,1996,7
09386,20748,6347,804,468,7619,5
09407,16584,5512,8928,3827,18267,4
09411,11545,1772,745,169,2686,6
10201,271291,55613,12226,4379,72218,3
10202,296475,51041,18911,7633,77585,3
10203,89388,12717,4537,824,18078,4
10204,162115,26378,8706,2055,37139,4
10205,175628,28039,19709,2776,50524,3
10206,37764,5930,2675,758,9363,5
10207,57373,7108,7580,822,15510,4
10208,59553,13042,5373,1613,20028,4
10209,49472,7812,4504,802,13118,5
10210,38878,7741,2326,906,10973,5
10211,45225,7974,3047,1814,12835,5
10212,35427,9198,1492,250,10940,5
10344,9218,2337,439,185,2961,6
10345,13594,4789,765,325,5879,5
10366,1057,278,226,24,528,8
10367,1162,285,152,8,445,8
10382,5613,1058,447,307,1812,7
10383,1315,137,58,7,202,9
10384,8793,2257,718,306,3281,6
10421,12863,2658,1256,353,4267,6
10424,3838,1689,1602,483,3774,6
10425,6145,1048,3683,1230,5961,5
10426,4255,1353,4005,1607,6965,5
10428,2566,619,220,58,897,7
10429,9938,3211,694,177,4082,6
10443,3154,744,2085,295,3124,6
10444,2510,793,662,89,1544,7
10448,5162,1425,714,297,2436,6
10449,14006,2910,4276,1406,8592,5
10464,25181,6182,1327,414,7923,5
10521,10730,1202,1688,110,3000,6
10522,7527,2623,2242,90,4955,6
10523,7557,2028,1465,99,3592,6
10524,29402,7076,2921,453,10450,5
10525,18787,3848,2112,198,6158,5
11101,57085,12727,3162,941,16830,4
11102,95965,27889,7774,2827,38490,4
11103,72989,59477,21236,7187,87900,3
11104,109094,17261,4254,1537,23052,4
11105,60700,28920,10082,3345,42347,3
11106,61462,12391,4384,1153,17928,4
11107,99749,39568,10973,3568,54109,3
11108,114121,28333,9372,2804,40509,4
11109,74316,21610,5260,1788,28658,4
11110,75320,19480,5038,1303,25821,4
11201,257529,50144,13663,4186,67993,3
11202,149079,30228,10610,2823,43661,3
11203,404559,46324,27817,6627,80768,3
11206,57582,12656,3037,929,16622,4
11207,50090,8375,3116,588,12079,5
11208,245434,27694,23714,4165,55573,3
11209,58178,9945,4749,1036,15730,4
11210,81921,14215,6932,1153,22300,4
11211,57172,10526,6222,1085,17833,4
11212,65667,18225,4455,1061,23741,4
11214,168116,22746,10171,1526,34443,4
11215,109469,20750,6872,1879,29501,4
11216,39702,8848,4767,821,14436,5
11217,81166,14766,3507,1262,19535,4
11218,108791,19839,6520,1570,27929,4
11219,157332,29312,5933,2301,37546,4
11221,167413,21724,14211,2953,38888,4
11222,242330,37498,17176,3540,58214,3
11223,44168,13887,4155,1214,19256,4
11224,90862,20290,10887,2614,33791,4
11225,103899,17325,9525,1779,28629,4
11227,90627,19265,7802,2006,29073,4
11228,46143,8681,2104,684,11469,5
11229,51041,11971,12931,2278,27180,4
11230,104352,17180,15530,1939,34649,4
11231,47898,12420,2399,787,15606,4
11232,107913,24920,10639,2248,37807,4
11233,45183,9958,1664,598,12220,5
11234,57478,8828,9294,1235,19357,4
11235,68828,17306,3934,1034,22274,4
11237,94762,11650,15621,1788,29059,4
11238,42273,9497,2865,871,13233,5
11239,68523,15885,2927,948,19760,4
11240,35142,7064,3352,466,10882,5
11241,45757,14394,2496,953,17843,4
11242,39496,10245,2478,428,13151,5
11243,46968,6096,3486,542,10124,5
11245,72698,15900,3796,1062,20758,4
11246,33722,7199,2348,637,10184,5
11301,29249,7381,1337,577,9295,5
11324,24162,11007,2981,682,14670,5
11326,25733,6795,1016,216,8027,5
11327,7722,1742,460,112,2314,6
11341,11304,5404,1122,191,6717,5
11342,12188,5056,1244,296,6596,5
11343,23192,3937,750,175,4862,6
11346,13888,6069,1252,243,7564,5
11347,12865,4093,738,139,4970,6
11348,10172,2396,571,114,3081,6
11349,7828,2010,386,47,2443,6
11361,5727,1492,468,58,2018,7
11362,6915,2145,538,118,2801,6
11363,5125,1759,639,87,2485,6
11365,9281,1695,479,68,2242,6
11369,2064,390,66,30,486,8
11381,7406,3015,835,139,3989,6
11383,9258,1760,1211,86,3057,6
11385,20745,5325,3266,584,9175,5
11408,23470,6308,1784,366,8458,5
11442,21754,4322,1856,241,6419,5
11464,30567,6409,1702,369,8480,5
11465,20236,2830,1066,123,4019,6
12101,143436,86737,13232,5835,105804,3
12102,115709,24012,5182,2278,31472,4
12103,107975,27013,4899,1938,33850,4
12104,103025,18672,3265,1123,23060,4
12105,87936,18327,2475,1137,21939,4
12106,101635,53212,22040,8973,84225,3
12202,52095,4762,3412,545,8719,5
12203,323613,47363,29012,8082,84457,3
12204,433684,72105,27801,9433,109339,3
12205,37417,8056,3138,710,11904,5
12206,101381,23035,8987,2526,34548,4
12207,341016,34361,24517,5570,64448,3
12208,114831,7740,13310,1481,22531,4
12210,67842,15643,2043,637,18323,4
12211,100282,42920,30385,11790,85095,3
12212,124178,21378,4880,1594,27852,4
12213,44645,11629,1415,380,13424,5
12215,52647,9291,1985,331,11607,5
12216,109701,33445,7857,2384,43686,3
12217,296896,42268,28605,6480,77353,3
12218,14083,2630,1816,271,4717,6
12219,211330,30381,9542,3464,43387,3
12220,114578,20297,10560,2449,33306,4
12221,134146,21396,5004,2137,28537,4
12222,92070,8460,8299,1424,18183,4
12223,27498,5967,3194,550,9711,5
12224,71862,13877,3032,992,17901,4
12225,63627,15866,3609,1201,20676,4
12226,32062,8004,2655,563,11222,5
12227,109695,25217,39907,34121,99245,3
12228,61275,11543,2304,823,14670,5
12229,43385,12850,2795,842,16487,4
12230,51415,7007,1175,343,8525,5
12231,66359,17810,6794,1485,26089,4
12232,41828,8490,2029,700,11219,5
12233,33856,9234,1626,547,11407,5
12234,28930,5388,2897,465,8750,5
12235,27122,6312,605,205,7122,5
12236,58625,6781,5515,473,12769,5
12237,36770,8628,1174,389,10191,5
12238,28718,4149,1196,266,5611,5
12239,32953,4926,770,334,6030,5
12322,13695,7398,2341,404,10143,5
12329,15034,1530,707,117,2354,6
12342,4366,951,371,75,1397,7
12347,10229,3243,584,145,3972,6
12349,10222,1573,538,59,2170,6
12403,11303,2792,630,104,3526,6
12409,4797,6090,1396,408,7894,5
12410,16158,3497,546,152,4195,6
12421,7944,2474,789,180,3443,6
12422,5158,1429,338,67,1834,7
12423,9492,2828,422,102,3352,6
12424,7692,1401,668,150,2219,6
12426,4716,2540,548,84,3172,6
12427,5338,2065,625,68,2758,6
12441,7380,2014,934,94,3042,6
12443,5379,1043,654,109,1806,7
12463,5270,1666,799,114,2579,6
13101,30433,349956,302357,59367,711680,1
13102,88604,201663,188759,40380,430802,1
13103,155648,335664,329097,63733,728494,1
13104,214608,265302,169661,36417,471380,1
13105,137754,80439,60659,13562,154660,2
13106,125643,76168,84372,23992,184532,2
13107,168637,50920,48333,10730,109983,3
13108,339051,124953,132012,27303,284268,2
13109,254325,125439,132013,27358,284810,2
13110,172556,53778,33523,7543,94844,3
13111,496032,74087,114060,47366,235513,2
13112,611113,91096,67388,18179,176663,2
13113,137119,200789,133945,25594,360328,1
13114,206553,63828,24895,6984,95707,3
13115,372446,69424,24104,10562,104090,3
13116,181272,103075,81681,17777,202533,2
13117,220705,42446,50624,8790,101860,3
13118,136873,29957,24846,4468,59271,3
13119,378715,44018,40930,9156,94104,3
13120,491492,54277,36004,10253,100534,3
13121,465676,40110,57562,7757,105429,3
13122,299553,31451,32023,6047,69521,3
13123,470058,32764,41021,10888,84673,3
13201,436297,52406,33555,9794,95755,3
13202,120669,56771,13863,5075,75709,3
13203,94318,46587,9564,3743,59894,3
13204,122262,30126,7426,2936,40488,4
13205,100976,13524,5915,1050,20489,4
13206,183859,46827,20951,5913,73691,3
13207,77353,21786,4623,1354,27763,4
13208,151522,35654,12556,5344,53554,3
13209,301280,17604,51587,6186,75377,3
13210,78565,17748,4134,2293,24175,4
13211,126096,25225,8251,3122,36598,4
13212,128877,26836,7612,3046,37494,4
13213,101632,13794,8287,1615,23696,4
13214,78475,23501,6117,2261,31879,4
13215,47036,14145,3088,1204,18437,4
13218,38584,11101,1786,634,13521,5
13219,51009,7069,3378,1059,11506,5
13220,56637,10199,2389,753,13341,5
13221,48416,5834,5318,905,12057,5
13222,75949,11996,6087,1187,19270,4
13223,46803,10243,2396,441,13080,5
13224,104179,25289,12498,2875,40662,4
13225,57476,8849,7352,1391,17592,4
13227,37532,12284,1881,651,14816,5
13228,57202,8805,2293,715,11813,5
13229,130652,20734,8761,2345,31840,4
13303,22170,8760,3478,274,12512,5
13305,12514,4921,896,140,5957,5
13307,1529,450,168,19,637,8
13308,3649,1404,612,76,2092,6
13361,6358,620,586,197,1403,7
13362,281,28,43,20,91,10
13363,2290,248,277,59,584,8
13364,1493,152,172,41,365,8
13381,1777,254,172,76,502,8
13382,273,49,51,48,148,9
13401,6394,422,440,198,1060,7
13402,135,37,34,12,83,10
13421,2365,345,429,315,1089,7
14101,189319,43749,14987,6326,65062,3
14102,154257,55830,17072,6367,79269,3
14103,61719,110730,30896,10661,152287,2
14104,96818,86467,25452,15352,127271,2
14105,125246,25158,3484,2237,30879,4
14106,133192,35208,6604,2814,44626,3
14107,108503,25781,4302,1855,31938,4
14108,143775,31245,5436,2921,39602,4
14109,228491,61890,25340,13996,101226,3
14110,190629,43667,7720,4540,55927,3
14111,144434,30674,3363,2622,36659,4
14112,169783,27103,4866,3306,35275,4
14113,120393,22580,8288,2993,33861,4
14114,83627,13837,2604,990,17431,4
14115,80431,17780,2451,1345,21576,4
14116,104100,14723,1875,1326,17924,4
14117,208703,28214,13888,4654,46756,3
14118,145893,48592,12744,4418,65754,3
14131,156019,52333,29722,8984,91039,3
14132,104159,41052,23900,4254,69206,3
14133,162089,46435,32377,8319,87131,3
14134,149260,32235,15957,4333,52525,3
14135,140078,16041,15474,3794,35309,4
14136,147335,21282,8498,3189,32969,4
14137,117761,13920,15072,2531,31523,4
14151,121709,16037,15680,2545,34262,4
14152,193735,27421,16426,3550,47397,3
14153,190139,31677,15769,3521,50967,3
14201,320960,31074,9001,5498,45573,3
14203,196959,35277,5832,4542,45651,3
14204,121683,33261,7269,3778,44308,3
14205,310110,62667,12288,7461,82416,3
14206,150382,26447,6852,6132,39431,4
14207,170341,22239,3961,2435,28635,4
14208,38927,7965,1430,635,10030,5
14210,32681,4824,2105,487,7416,5
14211,125986,15997,3517,2366,21880,4
14212,173662,57200,13908,5546,76654,3
14213,161150,32490,8040,3004,43534,3
14214,72274,18205,3346,2095,23646,4
14215,90738,34475,7097,4039,45611,3
